"county","state","race","inmetro","category"
"KENDALL","IL","38019/210/73/224/887",1,"HLU"
"KNOX","IL","52413/2860/85/320/715",0,"AAR"
"LAKE","IL","450666/34771/1198/12588/17195",1,"HLU"
"LA SALLE","IL","103805/1153/206/523/1226",0,"AAR"
"LAWRENCE","IL","15759/151/31/21/10",0,"AHR"
"LEE","IL","32530/1222/84/181/375",0,"AAR"
"LIVINGSTON","IL","36551/2115/62/131/442",0,"AAR"
"LOGAN","IL","29223/1291/37/143/104",0,"AAR"
"MCDONOUGH","IL","32992/1254/65/802/131",0,"HHR"
"MCHENRY","IL","178895/310/299/1293/2444",1,"HLU"
"MCLEAN","IL","121057/5563/203/1624/733",1,"HAU"
"MACON","IL","102197/14135/157/506/211",1,"AAU"
"MACOUPIN","IL","47077/379/94/88/41",0,"AAR"
"MADISON","IL","230217/16136/683/1420/782",1,"AAU"
"MARION","IL","39647/1519/106/232/57",0,"AAR"
"MARSHALL","IL","12752/17/30/28/19",0,"AAR"
"MASON","IL","16180/8/27/38/16",0,"AAR"
"MASSAC","IL","13804/870/37/31/10",0,"LAR"
"MENARD","IL","11101/9/29/14/11",1,"AAU"
"MERCER","IL","17155/30/33/35/37",0,"AAR"
"MONROE","IL","22262/13/53/57/37",1,"ALU"
"MONTGOMERY","IL","29956/559/49/66/98",0,"AAR"
"MORGAN","IL","34561/1510/48/130/148",0,"AAR"
"MOULTRIE","IL","13884/8/22/13/3",0,"AAR"
"OGLE","IL","44895/66/87/136/773",1,"ALU"
"PEORIA","IL","154298/24892/312/2225/1100",1,"AAU"
"PERRY","IL","20901/399/26/63/23",0,"LAR"
"PIATT","IL","15508/8/16/11/5",0,"HLR"
"PIKE","IL","17499/8/24/32/14",0,"AHR"
"POPE","IL","4072/266/15/6/14",0,"LHR"
"PULASKI","IL","5032/2466/8/7/10",0,"LHR"
"PUTNAM","IL","5616/9/7/7/91",0,"AAR"
"RANDOLPH","IL","31532/2852/54/83/62",0,"LAR"
"RICHLAND","IL","16442/17/24/43/19",0,"AAR"
"ROCK ISLAND","IL","133428/10488/354/1017/3436",1,"AAU"
"ST CLAIR","IL","187866/71275/585/2007/1119",1,"AAU"
"SALINE","IL","25452/931/66/40/62",0,"LHR"
"SANGAMON","IL","162013/14364/290/1377/342",1,"HAU"
"SCHUYLER","IL","7479/2/9/6/2",0,"AAR"
"SCOTT","IL","5634/1/6/3/0",0,"AAR"
"SHELBY","IL","22190/14/27/27/3",0,"AAR"
"STARK","IL","6496/8/8/21/1",0,"AAR"
"STEPHENSON","IL","44524/3081/58/304/85",0,"AAR"
"TAZEWELL","IL","122639/186/221/432/214",1,"AAU"
"UNION","IL","17313/122/34/53/97",0,"LHR"
"VERMILION","IL","78956/7841/165/507/788",0,"AAR"
"WABASH","IL","12955/40/11/80/25",0,"AAR"
"WARREN","IL","18630/356/20/70/105",0,"AAR"
"WASHINGTON","IL","14856/46/31/26/6",0,"LAR"
"WAYNE","IL","17141/9/31/44/16",0,"LAR"
"WHITE","IL","16397/41/37/35/12",0,"LHR"
"WHITESIDE","IL","57135/417/85/187/2362",0,"AAR"
"WILL","IL","303420/38361/692/4774/10066",1,"HLU"
"WILLIAMSON","IL","56135/1147/112/252/87",0,"AAR"
"Winnebago","IL","222439/23256/651/2986/3581",1,"AAU"
"WOODFORD","IL","32388/64/54/102/45",1,"HLU"
"ADAMS","IN","30530/36/42/60/427",1,"AAU"
"ALLEN","IN","264086/30314/892/2644/2900",1,"HAU"
"BARTHOLOMEW","IN","61774/1005/97/610/171",0,"AAR"
"BENTON","IN","9389/6/16/1/29",0,"AAR"
"BLACKFORD","IN","13978/7/44/16/22",0,"AAR"
"BOONE","IN","37814/83/90/94/66",1,"HLU"
"BROWN","IN","13968/13/47/18/34",0,"ALR"
"CARROLL","IN","18720/19/22/3/45",0,"AAR"
"CASS","IN","37765/330/138/114/66",0,"AAR"
"CLARK","IN","82289/4703/192/356/237",1,"AAU"
"CLAY","IN","24522/113/41/15/14",1,"AAU"
"CLINTON","IN","30657/36/51/61/169",1,"AAU"
"CRAWFORD","IN","9868/9/26/11/0",0,"LHR"
"DAVIESS","IN","27372/99/26/20/16",0,"LAR"
"DEARBORN","IN","38440/252/53/75/15",1,"AAU"
"DECATUR","IN","23444/39/19/129/14",0,"AAR"
"DE KALB","IN","35009/37/91/88/99",1,"ALU"
"DELAWARE","IN","111232/7167/274/641/345",1,"AAU"
"DUBOIS","IN","36466/33/30/55/32",0,"ALR"
"ELKHART","IN","146505/7106/453/997/1137",1,"ALU"
"FAYETTE","IN","25462/435/37/69/12",0,"LAR"
"FLOYD","IN","61415/2642/92/175/80",1,"AAU"
"FOUNTAIN","IN","17726/4/25/27/26",0,"AAR"
"FRANKLIN","IN","19496/10/34/27/13",0,"LAR"
"FULTON","IN","18555/151/47/36/51",0,"AAR"
"GIBSON","IN","31146/596/38/104/29",0,"AAR"
"GRANT","IN","67817/5047/298/373/634",0,"AAR"
"GREENE","IN","30248/10/47/65/40",0,"AAR"
"HAMILTON","IN","106764/676/163/1190/143",1,"HLU"
"HANCOCK","IN","45173/44/59/176/75",1,"HLU"
"HARRISON","IN","29641/124/58/36/31",1,"AAU"
"HENDRICKS","IN","74519/685/157/275/81",1,"HLU"
"HENRY","IN","47446/474/78/78/63",0,"AAR"
"HOWARD","IN","75420/4398/226/457/326",1,"AAU"
"HUNTINGTON","IN","35012/52/154/133/76",1,"ALU"
"JACKSON","IN","37289/138/66/189/48",0,"AAR"
"JASPER","IN","24659/111/60/40/90",0,"AAR"
"JAY","IN","21313/30/32/67/70",0,"AAR"
"JEFFERSON","IN","29181/363/58/122/73",0,"AAR"
"JENNINGS","IN","23347/209/31/51/23",0,"LAR"
"JOHNSON","IN","86455/845/139/534/136",1,"HLU"
"KNOX","IN","39107/486/69/178/44",0,"AAR"
"KOSCIUSKO","IN","64058/309/118/322/487",0,"ALR"
"LAGRANGE","IN","29156/44/59/92/126",0,"LAR"
"LAKE","IN","334203/116688/865/2772/21066",1,"AAU"
"LA PORTE","IN","96286/9580/259/431/510",0,"AAR"
"LAWRENCE","IN","42536/109/88/77/26",0,"AAR"
"MADISON","IN","119734/9870/299/415/351",1,"AAU"
"MARION","IN","615039/169654/1698/7579/3189",1,"AAU"
"MARSHALL","IN","41508/76/72/151/375",0,"AAR"
"MARTIN","IN","10321/12/14/14/8",0,"LAR"
"MIAMI","IN","34784/1115/571/224/203",0,"AAR"
"MONROE","IN","102752/2835/216/2713/462",1,"HHU"
"MONTGOMERY","IN","33971/201/68/138/58",0,"HAR"
"MORGAN","IN","55635/9/137/91/48",1,"ALU"
"NEWTON","IN","13436/9/39/24/43",0,"AAR"
"NOBLE","IN","37456/58/83/98/182",0,"AAR"
"OHIO","IN","5255/41/8/9/2",1,"LAU"
"ORANGE","IN","18213/127/40/21/8",0,"LAR"
"OWEN","IN","17167/44/46/18/6",0,"LAR"
"PARKE","IN","15222/118/42/16/12",0,"AAR"
"PERRY","IN","18819/210/32/32/14",0,"LAR"
"PIKE","IN","12469/3/16/19/2",0,"LAR"
"PORTER","IN","126329/454/243/944/962",1,"HLU"
"POSEY","IN","25588/283/38/34/25",1,"AAU"
"PULASKI","IN","12509/65/21/20/28",0,"AAR"
"PUTNAM","IN","29196/826/77/154/62",0,"AAR"
"RANDOLPH","IN","26947/56/49/37/59",0,"AAR"
"RIPLEY","IN","24501/16/44/38/17",0,"AAR"
"RUSH","IN","17901/142/15/60/11",0,"AAR"
"ST JOSEPH","IN","216984/24190/846/2507/2525",1,"AAU"
"SCOTT","IN","20850/16/25/50/50",1,"LHU"
"SHELBY","IN","39743/330/67/142/25",1,"ALU"
"SPENCER","IN","19295/111/37/33/14",0,"AAR"
"STARKE","IN","22446/73/86/48/94",0,"LAR"
"STEUBEN","IN","27146/51/64/132/53",0,"ALR"
"SULLIVAN","IN","18905/15/39/15/19",0,"AAR"
"SWITZERLAND","IN","7695/15/16/10/2",0,"LAR"
"TIPPECANOE","IN","122013/2660/320/4821/784",1,"HAU"
"TIPTON","IN","15990/10/20/51/48",1,"ALU"
"UNION","IN","6915/20/15/21/5",0,"AAR"
"VANDERBURGH","IN","151216/12410/284/917/231",1,"AAU"
"VERMILLION","IN","16690/15/32/28/8",1,"AAU"
"VIGO","IN","98411/5916/297/1161/322",1,"AAU"
"WABASH","IN","34462/138/259/123/87",0,"AAR"
"WARREN","IN","8140/1/17/15/3",0,"AAR"
"WARRICK","IN","44274/371/83/157/35",1,"HLU"
"WASHINGTON","IN","23625/23/28/18/23",0,"LAR"
"WAYNE","IN","67532/3795/153/296/175",0,"AAR"
"WELLS","IN","25758/10/40/41/99",1,"ALU"
"WHITE","IN","23127/2/50/41/45",0,"AAR"
"WHITLEY","IN","27473/29/73/37/39",1,"ALU"
"ALCONA","MI","10026/27/56/26/10",0,"AAR"
"ALGER","MI","8422/213/304/24/9",0,"AAR"
"ALLEGAN","MI","86760/1448/543/411/1347",1,"AAU"
"ALPENA","MI","30372/35/93/85/20",0,"AAR"
"ANTRIM","MI","17895/23/211/24/32",0,"AAR"
"ARENAC","MI","14695/10/139/38/49",0,"LHR"
"BARAGA","MI","6971/49/918/10/6",0,"AAR"
"BARRY","MI","49429/104/188/144/192",0,"AAR"
"BAY","MI","107747/1242/726/428/1580",1,"AAU"
"BENZIE","MI","11863/30/237/35/35",0,"AAR"
"BERRIEN","MI","133259/24872/685/1487/1075",1,"AAU"
"BRANCH","MI","40278/705/221/156/142",0,"AAR"
"CALHOUN","MI","118737/14383/696/1068/1098",1,"AAU"
"CASS","MI","44827/3725/469/191/265",0,"AAR"
"CHARLEVOIX","MI","20993/17/378/41/39",0,"AAR"
"CHEBOYGAN","MI","20837/15/478/57/11",0,"AAR"
"CHIPPEWA","MI","28353/2184/3820/152/95",0,"AAR"
"CLARE","MI","24665/40/160/53/34",0,"LHR"
"CLINTON","MI","56639/218/276/199/551",1,"HLU"
"CRAWFORD","MI","11802/264/145/42/7",0,"AAR"
"DELTA","MI","36819/16/809/99/37",0,"AAR"
"DICKINSON","MI","26532/23/135/106/35",0,"AAR"
"EATON","MI","87549/3310/438/559/1023",1,"HLU"
"EMMET","MI","24122/133/683/69/33",0,"HAR"
"GENESEE","MI","336651/84257/3132/2902/3517",1,"AAU"
"GLADWIN","MI","21694/19/114/40/29",0,"LHR"
"GOGEBIC","MI","17486/243/283/26/14",0,"AAR"
"GRAND TRAVERSE","MI","63019/259/555/318/122",0,"HAR"
"GRATIOT","MI","37827/328/144/98/585",0,"AAR"
"HILLSDALE","MI","42919/113/143/112/144",0,"AAR"
"HOUGHTON","MI","34469/158/153/610/56",0,"AHR"
"HURON","MI","34627/22/89/60/153",0,"LAR"
"INGHAM","MI","237183/27837/1941/7562/7389",1,"HAU"
"IONIA","MI","53141/3003/221/120/539",0,"AAR"
"IOSCO","MI","28966/632/228/269/114",0,"AAR"
"IRON","MI","13028/4/102/32/9",0,"AAR"
"ISABELLA","MI","52212/635/1020/456/301",0,"AHR"
"JACKSON","MI","135557/11983/655/653/908",1,"AAU"
"KALAMAZOO","MI","197427/19879/1017/3168/1920",1,"HAU"
"KALKASKA","MI","13321/10/114/23/29",0,"AAR"
"KENT","MI","444112/40314/2756/5380/8069",1,"HAU"
"KEWEENAW","MI","1688/1/4/6/2",0,"LHR"
"LAKE","MI","7337/1146/81/9/10",0,"LHR"
"LAPEER","MI","73049/483/319/282/635",1,"AAU"
"LEELANAU","MI","15958/16/451/45/57",0,"HAR"
"LENAWEE","MI","86323/1431/303/486/2933",1,"AAU"
"LIVINGSTON","MI","113566/673/705/480/221",1,"HLU"
"LUCE","MI","5418/2/331/6/6",0,"AHR"
"MACKINAC","MI","8955/5/1691/11/12",0,"AAR"
"MACOMB","MI","693686/10400/2639/9112/1563",1,"ALU"
"MANISTEE","MI","20851/54/189/54/117",0,"AAR"
"MARQUETTE","MI","68027/1170/943/538/209",0,"HAR"
"MASON","MI","24957/155/188/75/162",0,"AAR"
"MECOSTA","MI","35739/978/258/187/146",0,"AHR"
"MENOMINEE","MI","24464/7/382/60/7",0,"AAR"
"MIDLAND","MI","73466/719/334/804/328",1,"HAU"
"MISSAUKEE","MI","12015/3/74/25/30",0,"AAR"
"MONROE","MI","129421/2339/481/574/785",1,"AAU"
"MONTCALM","MI","51216/960/384/157/342",0,"AAR"
"MONTMORENCY","MI","8861/1/48/10/16",0,"LAR"
"MUSKEGON","MI","133931/21617/1338/555/1542",1,"AAU"
"NEWAYGO","MI","36758/468/248/103/625",0,"AAR"
"OAKLAND","MI","970674/77488/3948/25103/6379",1,"HLU"
"OCEANA","MI","21211/58/242/50/893",0,"AHR"
"OGEMAW","MI","18489/18/140/19/15",0,"LHR"
"ONTONAGON","MI","8723/4/109/15/3",0,"AAR"
"OSCEOLA","MI","19899/57/117/43/30",0,"AHR"
"OSCODA","MI","7781/2/41/5/13",0,"LHR"
"OTSEGO","MI","17737/18/103/82/17",0,"AAR"
"OTTAWA","MI","179675/997/638/2451/4007",1,"ALU"
"PRESQUE ISLE","MI","13648/11/43/30/11",0,"LAR"
"ROSCOMMON","MI","19597/37/101/23/18",0,"AHR"
"SAGINAW","MI","165430/36849/915/1272/7480",1,"AAU"
"ST CLAIR","MI","140294/2987/745/475/1106",1,"AAU"
"ST JOSEPH","MI","56661/1600/226/258/168",0,"AAR"
"SANILAC","MI","39232/39/195/71/391",0,"AAR"
"SCHOOLCRAFT","MI","7755/7/519/13/8",0,"AAR"
"SHIAWASSEE","MI","68686/93/397/223/371",0,"AAR"
"TUSCOLA","MI","54051/478/345/206/418",0,"AAR"
"VAN BUREN","MI","63189/4690/646/217/1318",1,"AAU"
"WASHTENAW","MI","236390/31720/1076/11724/2027",1,"HAU"
"WAYNE","MI","1212007/849109/8048/21704/20819",1,"AHU"
"WEXFORD","MI","26040/34/178/87/21",0,"AAR"
"ADAMS","OH","25212/47/67/30/15",0,"LHR"
"ALLEN","OH","96177/12313/202/572/491",1,"AAU"
"ASHLAND","OH","46686/460/49/271/41",0,"AAR"
"ASHTABULA","OH","95465/3138/196/350/672",1,"AAU"
"ATHENS","OH","56163/1678/167/1374/167",0,"AHR"
"AUGLAIZE","OH","44225/66/50/177/67",1,"ALU"
"BELMONT","OH","69520/1308/81/129/36",1,"AAU"
"BROWN","OH","34487/406/28/30/15",1,"LAU"
"BUTLER","OH","274892/13134/379/2659/415",1,"AAU"
"CARROLL","OH","26254/135/65/29/38",1,"AAU"
"CHAMPAIGN","OH","34698/992/68/113/148",0,"AAR"
"CLARK","OH","133242/13031/294/653/328",1,"AAU"
"CLERMONT","OH","148084/1291/218/453/141",1,"AAU"
"CLINTON","OH","34471/716/59/138/31",0,"AAR"
"COLUMBIANA","OH","106369/1409/174/219/105",1,"AAU"
"COSHOCTON","OH","34819/415/68/112/13",0,"AAR"
"CRAWFORD","OH","47361/253/67/116/73",1,"AAU"
"CUYAHOGA","OH","1025756/350185/2533/18085/15581",1,"AAU"
"DARKE","OH","53067/184/96/114/158",0,"AAR"
"DEFIANCE","OH","36962/493/80/121/1694",0,"AAR"
"DELAWARE","OH","64888/1424/104/385/128",1,"HLU"
"ERIE","OH","69613/6312/150/265/439",0,"AAR"
"FAIRFIELD","OH","101610/1153/193/378/127",1,"AAU"
"FAYETTE","OH","26593/662/50/102/59",0,"LAR"
"FRANKLIN","OH","783714/152840/2056/19437/3390",1,"HAU"
"FULTON","OH","37097/93/62/137/1109",1,"ALU"
"GALLIA","OH","29831/871/79/136/37",0,"LHR"
"GEAUGA","OH","79629/1056/83/312/49",1,"HLU"
"GREENE","OH","124081/9611/398/2133/508",1,"HAU"
"GUERNSEY","OH","38166/616/70/141/31",0,"AAR"
"HAMILTON","OH","672972/181145/1204/9198/1709",1,"AAU"
"HANCOCK","OH","63572/591/91/401/881",0,"HLR"
"HARDIN","OH","30661/236/66/115/33",0,"AAR"
"HARRISON","OH","15645/393/22/15/10",0,"AHR"
"HENRY","OH","27951/147/53/95/862",0,"ALR"
"HIGHLAND","OH","34876/692/73/71/16",0,"LAR"
"HOCKING","OH","25199/234/55/25/20",0,"LAR"
"HOLMES","OH","32706/52/24/43/24",0,"LAR"
"HURON","OH","54982/597/85/153/423",0,"AAR"
"JACKSON","OH","29895/218/53/39/25",0,"LHR"
"JEFFERSON","OH","75270/4488/167/266/107",1,"AAU"
"KNOX","OH","46747/381/93/195/57",0,"AAR"
"LAKE","OH","209879/3528/250/1447/395",1,"HLU"
"LAWRENCE","OH","60115/1559/57/75/28",1,"LHU"
"LICKING","OH","125181/2217/247/475/180",1,"AAU"
"LOGAN","OH","41156/804/58/240/52",0,"AAR"
"LORAIN","OH","241549/21230/738/1479/6130",1,"AAU"
"LUCAS","OH","380155/68456/1164/4981/7605",1,"AAU"
"MADISON","OH","33947/2764/96/157/104",1,"AAU"
"MAHONING","OH","221109/39681/444/985/2587",1,"AAU"
"MARION","OH","60948/2707/148/285/186",0,"AAR"
"MEDINA","OH","120504/850/172/684/144",1,"HLU"
"MEIGS","OH","22734/177/44/20/12",0,"LHR"
"MERCER","OH","39131/14/85/100/113",0,"ALR"
"MIAMI","OH","90519/1779/158/606/120",1,"AAU"
"MONROE","OH","15437/19/26/12/3",0,"AHR"
"MONTGOMERY","OH","463551/101817/1065/5886/1490",1,"AAU"
"MORGAN","OH","13524/570/64/12/24",0,"AHR"
"MORROW","OH","27579/64/49/38/19",0,"AAR"
"MUSKINGUM","OH","78125/3468/214/152/109",0,"AAR"
"NOBLE","OH","11301/7/15/9/4",0,"AAR"
"OTTAWA","OH","39029/265/51/94/590",0,"ALR"
"PAULDING","OH","19920/236/54/20/258",0,"AAR"
"PERRY","OH","31408/57/46/21/25",0,"AHR"
"PICKAWAY","OH","44867/3036/127/95/130",1,"AAU"
"PIKE","OH","23807/327/72/41/2",0,"LHR"
"PORTAGE","OH","136998/3906/292/1191/198",1,"AAU"
"PREBLE","OH","39819/147/53/65/29",0,"AAR"
"PUTNAM","OH","33197/26/44/25/527",0,"ALR"
"RICHLAND","OH","115078/9981/223/578/277",1,"AAU"
"ROSS","OH","64362/4467/155/266/80",0,"LHR"
"SANDUSKY","OH","58282/1553/94/142/1892",0,"AAR"
"SCIOTO","OH","77253/2458/409/126/81",0,"LHR"
"SENECA","OH","57474/1172/90/234/763",0,"AAR"
"SHELBY","OH","43789/615/49/393/69",0,"AAR"
"STARK","OH","339421/25052/950/1529/633",1,"AAU"
"SUMMIT","OH","446902/61185/1065/4989/849",1,"AAU"
"TRUMBULL","OH","210915/15221/341/973/363",1,"AAU"
"TUSCARAWAS","OH","83107/623/138/187/35",1,"AAU"
"UNION","OH","30563/1168/57/132/49",0,"AAR"
"VAN WERT","OH","29900/193/31/78/262",0,"ALR"
"VINTON","OH","11071/4/16/3/4",0,"LHR"
"WARREN","OH","110526/2415/231/627/110",1,"ALU"
"WASHINGTON","OH","61129/774/111/185/55",1,"AAU"
"WAYNE","OH","99131/1557/130/535/108",0,"AAR"
"WILLIAMS","OH","36366/23/46/127/394",0,"AAR"
"WOOD","OH","109303/1168/197/1028/1573",1,"HAU"
"WYANDOT","OH","22087/20/20/65/62",0,"AAR"
"ADAMS","WI","15001/375/125/56/125",0,"LAR"
"ASHLAND","WI","14749/17/1478/46/17",0,"AAR"
"BARRON","WI","40346/40/209/95/60",0,"AAR"
"BAYFIELD","WI","12707/29/1240/24/8",0,"AAR"
"BROWN","WI","186621/1012/3869/2522/570",1,"HAU"
"BUFFALO","WI","13521/5/22/29/7",0,"AAR"
"BURNETT","WI","12497/22/532/24/9",0,"AAR"
"CALUMET","WI","33910/29/146/173/33",1,"ALU"
"CHIPPEWA","WI","51854/31/150/276/49",1,"AAU"
"CLARK","WI","31437/29/91/38/52",0,"LAR"
"COLUMBIA","WI","44469/243/136/136/104",0,"AAR"
"CRAWFORD","WI","15791/50/26/56/17",0,"AAR"
"DANE","WI","344617/10511/1201/8666/2090",1,"HAU"
"DODGE","WI","74700/1142/215/197/305",0,"ALR"
"DOOR","WI","25387/29/178/47/49",0,"AAR"
"DOUGLAS","WI","40454/170/805/266/63",1,"AAU"
"DUNN","WI","34929/172/95/633/80",0,"AAR"
"EAU CLAIRE","WI","82202/238/467/2124/152",1,"HAU"
"FLORENCE","WI","4562/4/14/4/6",0,"AAR"
"FOND DU LAC","WI","88760/257/297/448/321",0,"AAR"
"FOREST","WI","7842/127/780/14/13",0,"LHR"
"GRANT","WI","48838/76/76/234/40",0,"AAR"
"GREEN","WI","30173/23/51/66/26",0,"AAR"
"GREEN LAKE","WI","18386/21/42/103/99",0,"AAR"
"IOWA","WI","20093/7/21/19/10",0,"HAR"
"IRON","WI","6121/1/25/2/4",0,"AAR"
"JACKSON","WI","15814/47/674/30/23",0,"AAR"
"JEFFERSON","WI","66702/189/176/287/429",0,"ALR"
"JUNEAU","WI","21307/31/166/78/68",0,"AAR"
"KENOSHA","WI","119187/5295/472/669/2558",1,"AAU"
"KEWAUNEE","WI","18766/24/52/23/13",0,"AAR"
"LA CROSSE","WI","94319/438/340/2667/140",1,"HAU"
"LAFAYETTE","WI","16009/14/21/19/13",0,"AAR"
"LANGLADE","WI","19291/13/137/22/42",0,"AAR"
"LINCOLN","WI","26712/84/96/78/23",0,"AAR"
"MANITOWOC","WI","78730/115/318/1071/187",0,"AAR"
"MARATHON","WI","112189/89/490/2499/133",1,"AAU"
"MARINETTE","WI","40280/8/150/63/47",0,"AAR"
"MARQUETTE","WI","12174/31/49/18/49",0,"AAR"
"MENOMINEE","WI","416/0/3469/0/5",0,"LHR"
"MILWAUKEE","WI","718918/195470/6994/15308/22585",1,"AAU"
"MONROE","WI","35983/141/301/143/65",0,"AAR"
"OCONTO","WI","29926/18/212/36/34",0,"AAR"
"ONEIDA","WI","31320/58/223/56/22",0,"AAR"
"OUTAGAMIE","WI","136043/206/1965/1904/392",1,"HLU"
"OZAUKEE","WI","71676/492/127/438/98",1,"HLU"
"PEPIN","WI","7070/2/18/9/8",0,"AAR"
"PIERCE","WI","32366/82/87/172/58",1,"HAU"
"POLK","WI","34348/23/321/50/31",0,"AAR"
"PORTAGE","WI","59972/161/255/786/231",0,"AAR"
"PRICE","WI","15479/7/77/27/10",0,"AAR"
"RACINE","WI","152098/16999/521/1004/4412",1,"AAU"
"RICHLAND","WI","17411/12/34/38/26",0,"AAR"
"ROCK","WI","130803/6638/369/985/715",1,"AAU"
"RUSK","WI","14821/31/82/114/31",0,"AAR"
"ST CROIX","WI","49895/44/121/148/43",1,"HLU"
"SAUK","WI","46459/54/288/79/95",0,"AAR"
"SAWYER","WI","11962/18/2167/15/19",0,"AHR"
"SHAWANO","WI","35251/42/1762/70/32",0,"AAR"
"SHEBOYGAN","WI","100389/430/357/2061/640",1,"ALU"
"TAYLOR","WI","18807/2/39/44/9",0,"AAR"
"TREMPEALEAU","WI","25160/12/32/46/13",0,"AAR"
"VERNON","WI","25509/12/36/42/18",0,"AAR"
"VILAS","WI","16116/9/1534/38/10",0,"AAR"
"WALWORTH","WI","72747/454/201/494/1104",0,"AAR"
"WASHBURN","WI","13585/25/122/33/7",0,"AAR"
"WASHINGTON","WI","94465/125/208/337/193",1,"HLU"
"WAUKESHA","WI","298313/1096/672/2699/1935",1,"HLU"
"WAUPACA","WI","45695/22/125/92/170",0,"AAR"
"WAUSHARA","WI","19094/29/70/43/149",0,"AAR"
"WINNEBAGO","WI","136822/697/685/1728/388",1,"HAU"
"WOOD","WI","72157/90/481/722/155",0,"AAR"
"ADAMS","IL","63917/1702/98/249/124",0,"AAR"
"ALEXANDER","IL","7054/3496/19/48/9",0,"LHR"
"BOND","IL","14477/429/35/16/34",0,"AAR"
"BOONE","IL","29344/127/46/150/1139",1,"ALU"
"BROWN","IL","5264/547/14/5/6",0,"AAR"
"BUREAU","IL","35157/50/65/195/221",0,"AAR"
"CALHOUN","IL","5298/1/8/15/0",0,"LAR"
"CARROLL","IL","16519/111/30/61/84",0,"AAR"
"CASS","IL","13384/16/8/23/6",0,"AAR"
"CHAMPAIGN","IL","146506/16559/331/8033/1596",1,"HAU"
"CHRISTIAN","IL","34176/82/51/89/20",0,"AAR"
"CLARK","IL","15842/10/26/36/7",0,"AAR"
"CLAY","IL","14403/4/17/29/7",0,"LAR"
"CLINTON","IL","32688/1021/48/104/83",1,"LAU"
"COLES","IL","50177/925/92/341/109",0,"AAR"
"COOK","IL","3204947/1317147/10289/188565/384119",1,"AAU"
"CRAWFORD","IL","19300/63/34/48/19",0,"AAR"
"CUMBERLAND","IL","10627/5/6/26/6",0,"AAR"
"DE KALB","IL","72968/2069/123/1751/1021",1,"HAU"
"DE WITT","IL","16387/25/37/43/24",0,"AAR"
"DOUGLAS","IL","19280/16/19/41/108",0,"AAR"
"DU PAGE","IL","714905/15462/962/39634/10703",1,"HLU"
"EDGAR","IL","19469/68/24/24/10",0,"AAR"
"EDWARDS","IL","7401/6/8/19/6",0,"AAR"
"EFFINGHAM","IL","31523/12/45/95/29",0,"AAR"
