"Lot_Area","Neighborhood","Overall_Qual","Overall_Cond","Year_Built","Roof_Style","Bsmt_Cond","Central_Air","Gr_Liv_Area","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Fireplaces","Garage_Type","Fence","Sale_Price"
53504,"Stone_Brook","Very_Good","Average",2003,"Hip","Typical","Y",3279,3,1,4,1,12,1,"BuiltIn","No_Fence",538000
12134,"Gilbert","Very_Good","Good",1988,"Gable","Typical","Y",1752,2,0,4,1,8,0,"Basment","No_Fence",164000
11394,"Stone_Brook","Excellent","Poor",2010,"Hip","Typical","Y",1856,1,1,1,1,8,1,"Attchd","No_Fence",394432
19138,"Gilbert","Below_Average","Average",1951,"Gable","Typical","Y",864,1,0,2,1,4,0,"Detchd","No_Fence",141000
13175,"Northwest_Ames","Above_Average","Above_Average",1978,"Gable","Typical","Y",2073,2,0,3,1,7,2,"Attchd","Minimum_Privacy",210000
11751,"Northwest_Ames","Above_Average","Above_Average",1977,"Hip","Typical","Y",1844,2,0,3,1,7,1,"Attchd","Minimum_Privacy",190000
10625,"Northwest_Ames","Good","Above_Average",1974,"Gable","Typical","Y",1173,2,0,3,1,6,2,"Attchd","Minimum_Privacy",170000
7500,"Somerset","Good","Average",2000,"Gable","Typical","Y",1674,2,1,3,1,7,0,"Attchd","No_Fence",216000
11241,"North_Ames","Above_Average","Good",1970,"Gable","Typical","Y",1004,1,0,2,1,5,1,"Attchd","No_Fence",149000
12537,"North_Ames","Average","Above_Average",1971,"Gable","Typical","Y",1078,1,1,3,1,6,1,"Attchd","No_Fence",149900
8450,"North_Ames","Average","Above_Average",1968,"Gable","Typical","Y",1056,1,0,3,1,6,1,"Attchd","No_Fence",142000
8400,"North_Ames","Below_Average","Average",1970,"Gable","Typical","Y",882,1,0,2,1,4,0,"Attchd","Minimum_Privacy",126000
10500,"North_Ames","Below_Average","Average",1971,"Gable","Typical","Y",864,1,0,3,1,5,1,"No_Garage","No_Fence",115000
5858,"North_Ames","Good","Average",1999,"Gable","Typical","Y",1337,2,0,2,1,5,1,"Attchd","No_Fence",184000
1680,"Briardale","Above_Average","Average",1971,"Gable","Typical","Y",987,1,1,2,1,5,0,"Detchd","No_Fence",96000
1680,"Briardale","Average","Average",1971,"Gable","Typical","Y",1092,1,1,3,1,6,0,"Detchd","No_Fence",105500
1680,"Briardale","Above_Average","Average",1971,"Gable","Typical","Y",1092,1,1,3,1,6,0,"Detchd","No_Fence",88000
4043,"Northpark_Villa","Above_Average","Average",1977,"Gable","Typical","Y",1069,2,0,2,1,4,1,"Attchd","No_Fence",127500
2280,"Northpark_Villa","Above_Average","Above_Average",1975,"Gable","Typical","Y",1456,2,1,3,1,6,1,"Attchd","No_Fence",149900
2280,"Northpark_Villa","Good","Above_Average",1975,"Gable","Typical","Y",836,1,0,2,1,4,0,"Attchd","No_Fence",120000
2280,"Northpark_Villa","Above_Average","Average",1978,"Gable","Typical","Y",1456,2,1,3,1,7,1,"Attchd","No_Fence",146000
12858,"Northridge_Heights","Excellent","Average",2009,"Gable","Typical","Y",2334,2,1,3,1,10,1,"Attchd","No_Fence",376162
11478,"Northridge_Heights","Very_Good","Average",2007,"Gable","Typical","Y",1704,2,0,3,1,7,1,"Attchd","No_Fence",306000
10159,"Northridge_Heights","Excellent","Average",2009,"Hip","Typical","Y",1940,2,1,3,1,8,1,"Attchd","No_Fence",395192
12883,"Northridge_Heights","Very_Good","Average",2009,"Gable","Typical","Y",1544,2,0,3,1,7,0,"Attchd","No_Fence",290941
12182,"Northridge_Heights","Good","Average",2005,"Gable","Typical","Y",1541,2,0,3,1,7,1,"Attchd","No_Fence",220000
11520,"Northridge_Heights","Excellent","Average",2005,"Hip","Typical","Y",1698,2,0,3,1,7,1,"Attchd","No_Fence",275000
14122,"Northridge_Heights","Very_Good","Average",2005,"Hip","Typical","Y",1822,2,0,3,1,8,1,"Attchd","No_Fence",259000
10171,"Northridge_Heights","Good","Average",2004,"Gable","Typical","Y",1535,2,0,3,1,7,0,"Attchd","No_Fence",214000
12919,"Northridge_Heights","Excellent","Average",2009,"Hip","Typical","Y",2364,2,1,2,1,11,2,"Attchd","No_Fence",611657
6371,"Northridge_Heights","Good","Average",2009,"Gable","Typical","Y",1358,2,0,2,1,6,1,"Attchd","No_Fence",224000
14300,"Northridge_Heights","Excellent","Average",2003,"Hip","Typical","Y",2696,2,1,3,1,10,2,"Attchd","No_Fence",500000
13650,"Northridge_Heights","Very_Good","Average",2002,"Gable","Typical","Y",2250,2,1,3,1,7,1,"Attchd","No_Fence",320000
7658,"Northridge_Heights","Excellent","Average",2005,"Hip","Typical","Y",1752,2,0,2,1,6,1,"Attchd","No_Fence",319900
7132,"Northridge_Heights","Very_Good","Average",2006,"Gable","Typical","Y",1370,2,0,2,1,6,1,"Attchd","No_Fence",205000
2628,"Northridge_Heights","Good","Average",2003,"Gable","Typical","Y",1626,2,1,2,1,6,0,"BuiltIn","No_Fence",175500
18494,"Gilbert","Above_Average","Average",2005,"Gable","Typical","Y",1324,2,0,3,1,6,0,"Attchd","No_Fence",199500
3203,"Bloomington_Heights","Good","Average",2006,"Gable","Typical","Y",1145,2,0,2,1,6,0,"Attchd","No_Fence",160000
3182,"Bloomington_Heights","Very_Good","Average",2004,"Gable","Typical","Y",1269,2,0,2,1,6,1,"Attchd","No_Fence",192000
13300,"Gilbert","Good","Average",2004,"Gable","Typical","Y",1374,2,1,3,1,7,1,"BuiltIn","No_Fence",184500
7851,"Gilbert","Above_Average","Average",2002,"Gable","Typical","Y",1960,2,1,4,1,8,2,"BuiltIn","No_Fence",216500
8577,"Gilbert","Good","Average",2004,"Gable","Typical","Y",1733,2,1,3,1,7,1,"BuiltIn","No_Fence",185088
7750,"Gilbert","Good","Average",2000,"Gable","Typical","Y",1430,2,1,3,1,7,1,"BuiltIn","No_Fence",180000
9505,"Gilbert","Good","Average",2001,"Gable","Typical","Y",2035,2,1,3,1,8,1,"BuiltIn","No_Fence",222500
14774,"Northridge","Excellent","Average",1999,"Gable","Typical","Y",2599,2,1,4,1,10,1,"BuiltIn","No_Fence",333168
17433,"Northridge","Very_Good","Average",1998,"Hip","Typical","Y",2475,2,1,4,1,7,1,"Attchd","No_Fence",355000
10593,"Northridge","Good","Average",1996,"Hip","Typical","Y",1720,2,0,3,1,7,1,"Attchd","No_Fence",260400
12256,"Northridge","Very_Good","Average",1994,"Gable","Typical","Y",2622,2,1,3,1,9,2,"Attchd","No_Fence",325000
11764,"Northridge","Very_Good","Good",1999,"Gable","Typical","Y",2270,2,1,4,1,9,1,"Attchd","No_Fence",290000
16770,"Northridge","Good","Average",1998,"Gable","Typical","Y",1839,2,1,4,1,7,0,"Attchd","No_Fence",221000
14720,"Northridge","Very_Good","Average",1995,"Hip","Typical","Y",3238,2,1,4,1,9,1,"Attchd","No_Fence",410000
8987,"Somerset","Very_Good","Average",2005,"Gable","Typical","Y",1595,2,0,2,1,6,1,"Attchd","No_Fence",221500
9215,"Somerset","Good","Average",2009,"Hip","Typical","Y",1218,2,0,2,1,4,0,"Attchd","No_Fence",204500
8640,"Somerset","Good","Average",2009,"Gable","Typical","Y",1547,2,1,3,1,7,0,"Attchd","No_Fence",215200
9000,"Somerset","Very_Good","Average",2008,"Gable","Typical","Y",1566,2,0,3,1,7,0,"Attchd","No_Fence",262500
12552,"Somerset","Good","Average",2004,"Gable","Typical","Y",1947,2,1,3,1,8,1,"Attchd","Good_Wood",254900
10440,"Somerset","Above_Average","Average",2005,"Gable","Typical","Y",1468,2,0,2,1,6,1,"Attchd","No_Fence",271500
10142,"Sawyer_West","Good","Average",2004,"Gable","Typical","Y",2084,2,1,4,1,8,0,"BuiltIn","No_Fence",233000
11920,"Sawyer_West","Good","Average",2004,"Gable","Typical","Y",1659,2,1,3,1,8,0,"Attchd","No_Fence",181000
8880,"Sawyer_West","Good","Average",1994,"Gable","Typical","Y",2110,2,1,3,1,8,2,"Attchd","No_Fence",205000
8012,"Sawyer_West","Above_Average","Average",1980,"Gable","Typical","Y",923,2,0,2,1,5,1,"Attchd","No_Fence",143000
11218,"Sawyer_West","Above_Average","Average",1992,"Gable","Typical","Y",1845,2,1,3,1,8,1,"Attchd","Good_Privacy",189000
7892,"Sawyer_West","Above_Average","Average",1979,"Gable","Typical","Y",918,2,0,2,1,5,1,"Attchd","No_Fence",99500
7175,"Sawyer_West","Above_Average","Average",1984,"Gable","Typical","Y",752,1,0,2,1,4,0,"Attchd","Minimum_Privacy",125000
9453,"Sawyer_West","Good","Good",1993,"Gable","Typical","Y",1744,2,1,3,1,7,0,"Attchd","No_Fence",194500
9672,"Sawyer_West","Above_Average","Average",1984,"Hip","Typical","Y",1097,2,0,3,1,6,0,"Attchd","Good_Privacy",152000
8400,"Sawyer_West","Above_Average","Above_Average",1980,"Gable","Typical","Y",1564,2,1,3,1,7,1,"Attchd","Minimum_Privacy",171000
9800,"Sawyer_West","Average","Average",1920,"Gable","Typical","N",1012,1,0,2,1,5,0,"Detchd","No_Fence",67500
8930,"Sawyer","Above_Average","Average",1978,"Gable","No_Basement","Y",1902,2,0,4,2,8,0,"Attchd","No_Fence",112000
11782,"Sawyer","Average","Good",1961,"Gable","Typical","Y",1155,1,0,3,1,6,0,"Detchd","Minimum_Privacy",148000
8450,"Sawyer","Average","Very_Good",1965,"Gable","Typical","Y",894,1,0,3,1,5,1,"Detchd","Minimum_Privacy",138500
9819,"Sawyer","Average","Average",1967,"Gable","Typical","Y",900,1,0,3,1,5,0,"Detchd","Minimum_Privacy",122000
7500,"Sawyer","Average","Average",1963,"Gable","Typical","Y",1040,1,1,3,1,5,0,"Attchd","Minimum_Privacy",133000
6897,"Sawyer","Average","Very_Good",1962,"Gable","Typical","Y",1040,1,1,3,1,6,0,"Detchd","No_Fence",127000
15410,"Sawyer","Above_Average","Above_Average",1974,"Hip","Typical","Y",1494,2,0,3,1,7,2,"Attchd","Good_Privacy",169000
10186,"Northridge","Good","Average",1992,"Gable","Typical","Y",1923,2,1,3,1,8,1,"Attchd","No_Fence",190000
13143,"Northridge","Very_Good","Average",1993,"Gable","Typical","Y",2349,2,1,4,1,9,1,"Attchd","No_Fence",362500
11134,"Northridge","Very_Good","Average",1992,"Gable","Typical","Y",2225,2,1,4,1,7,1,"Attchd","No_Fence",285000
4835,"Somerset","Good","Average",2004,"Gable","Typical","Y",1488,2,0,2,1,6,1,"Attchd","No_Fence",260000
3515,"Somerset","Good","Average",2004,"Gable","Typical","Y",1680,2,1,2,1,3,0,"Attchd","No_Fence",190000
3215,"Somerset","Good","Average",2004,"Gable","Typical","Y",1200,2,1,2,1,4,0,"Detchd","No_Fence",155000
3182,"Somerset","Good","Average",2004,"Gable","Typical","Y",1200,2,1,2,1,4,0,"Detchd","No_Fence",151000
2544,"Somerset","Good","Average",2004,"Gable","Typical","Y",1200,2,1,2,1,4,0,"Detchd","No_Fence",149500
2544,"Somerset","Above_Average","Average",2005,"Gable","Typical","Y",1236,2,1,2,1,4,0,"Detchd","No_Fence",152000
4403,"Somerset","Good","Average",2009,"Gable","Typical","Y",1478,2,1,2,1,7,1,"Attchd","No_Fence",222000
2117,"Somerset","Above_Average","Average",2000,"Gable","Typical","Y",1573,2,1,3,1,5,0,"Detchd","No_Fence",177500
2980,"Somerset","Above_Average","Average",2000,"Gable","Typical","Y",1512,2,1,2,1,5,0,"Detchd","No_Fence",177000
2572,"Somerset","Good","Average",1999,"Hip","Typical","Y",1416,2,1,3,1,6,0,"Detchd","No_Fence",155000
2403,"Somerset","Good","Average",2003,"Gable","Typical","Y",1080,2,1,2,1,4,0,"Attchd","No_Fence",147110
12853,"Somerset","Very_Good","Average",2010,"Gable","Poor","Y",1418,1,1,1,1,6,1,"Attchd","No_Fence",267916
7379,"Somerset","Very_Good","Average",2000,"Gable","Typical","Y",1848,2,1,3,1,7,1,"Attchd","No_Fence",254000
4420,"Greens","Very_Good","Average",1980,"Gable","Typical","Y",788,1,0,1,1,3,1,"Detchd","No_Fence",155000
3880,"Greens","Very_Good","Above_Average",1978,"Gable","Typical","Y",1226,1,0,1,1,4,1,"Attchd","No_Fence",206000
13517,"Sawyer","Above_Average","Very_Good",1976,"Gable","Typical","Y",1479,2,1,3,1,6,0,"Attchd","No_Fence",130500
8000,"Somerset","Good","Average",2002,"Gable","Typical","Y",1492,2,0,3,1,6,1,"Attchd","No_Fence",230000
10456,"Northwest_Ames","Above_Average","Above_Average",1967,"Hip","Typical","Y",1829,2,0,4,1,8,0,"Attchd","No_Fence",218500
10791,"Northwest_Ames","Above_Average","Average",1993,"Gable","Typical","Y",2495,2,1,4,1,9,1,"Attchd","No_Fence",243500
10603,"Northwest_Ames","Above_Average","Good",1977,"Gable","Typical","Y",1610,2,0,3,1,6,2,"Attchd","No_Fence",205000
18837,"Northwest_Ames","Above_Average","Average",1978,"Gable","Typical","Y",1891,3,0,3,1,7,1,"Attchd","No_Fence",212500
10421,"Northwest_Ames","Good","Average",1988,"Gable","Typical","Y",1714,2,1,3,1,7,1,"Attchd","Minimum_Privacy",196500
9360,"Northwest_Ames","Above_Average","Good",1972,"Hip","Typical","Y",1381,1,1,3,1,5,1,"Attchd","No_Fence",197500
9600,"Northwest_Ames","Above_Average","Above_Average",1971,"Gable","Typical","Y",1645,1,2,4,1,7,0,"Attchd","Good_Wood",171000
9600,"North_Ames","Average","Average",1966,"Hip","Typical","Y",1232,1,1,3,1,6,0,"Attchd","No_Fence",142250
9790,"Northwest_Ames","Above_Average","Average",1963,"Hip","Typical","Y",1328,1,1,3,1,6,2,"Attchd","No_Fence",143000
9320,"North_Ames","Below_Average","Average",1959,"Gable","Typical","Y",1225,1,1,3,1,6,0,"No_Garage","No_Fence",128950
9900,"North_Ames","Average","Average",1966,"Hip","Typical","Y",1209,1,0,3,1,6,0,"Attchd","No_Fence",159000
9680,"North_Ames","Average","Above_Average",1967,"Gable","Typical","Y",1510,2,0,3,1,6,0,"Attchd","Good_Privacy",178900
10600,"North_Ames","Above_Average","Average",1964,"Gable","Typical","Y",1775,2,0,3,1,8,0,"Attchd","No_Fence",136300
14112,"North_Ames","Average","Good",1964,"Hip","Typical","Y",1152,1,0,3,1,6,1,"Attchd","No_Fence",180500
8800,"North_Ames","Above_Average","Good",1963,"Gable","Typical","Y",1054,1,0,3,1,6,0,"Attchd","Minimum_Privacy",137500
13260,"North_Ames","Average","Above_Average",1962,"Hip","Typical","Y",1728,2,0,6,2,10,0,"No_Garage","No_Fence",84900
9717,"North_Ames","Average","Above_Average",1950,"Hip","Typical","Y",1078,1,0,2,1,5,0,"Attchd","No_Fence",142125
9724,"North_Ames","Average","Good",1952,"Gable","Typical","Y",2461,2,0,3,1,7,2,"Detchd","Good_Wood",197600
17360,"North_Ames","Above_Average","Above_Average",1949,"Gable","Typical","Y",1556,2,0,3,1,6,1,"Attchd","No_Fence",172500
7207,"Brookside","Average","Good",1958,"Gable","Typical","Y",858,1,0,2,1,4,0,"No_Garage","No_Fence",116500
5350,"Brookside","Fair","Poor",1940,"Gable","Typical","Y",1306,1,0,3,1,6,0,"No_Garage","Good_Wood",76500
9920,"North_Ames","Average","Average",1954,"Gable","Typical","Y",1063,1,0,3,1,6,0,"Attchd","Minimum_Privacy",128000
9600,"North_Ames","Above_Average","Above_Average",1955,"Gable","Typical","Y",1520,1,0,3,1,7,2,"Basment","No_Fence",153000
7800,"North_Ames","Average","Above_Average",1954,"Gable","Typical","Y",1268,1,0,2,1,7,1,"Attchd","No_Fence",132000
11380,"North_Ames","Above_Average","Very_Good",1966,"Gable","Typical","Y",1128,1,0,2,1,5,1,"Attchd","No_Fence",178000
11600,"North_Ames","Average","Average",1960,"Gable","Typical","Y",2274,2,0,5,2,12,0,"Detchd","No_Fence",154300
19900,"North_Ames","Good","Average",1970,"Gable","Typical","Y",2207,2,0,3,1,7,1,"Attchd","No_Fence",180000
16492,"North_Ames","Above_Average","Above_Average",1966,"Gable","Typical","Y",1888,2,1,2,1,6,1,"Attchd","No_Fence",190000
8267,"North_Ames","Average","Average",1958,"Gable","Typical","Y",1604,2,0,4,2,8,0,"Attchd","No_Fence",135000
8197,"North_Ames","Good","Average",2003,"Gable","Typical","Y",1480,2,0,3,1,7,0,"Attchd","Minimum_Privacy",214000
8050,"North_Ames","Average","Average",1959,"Hip","Typical","Y",1143,1,0,3,1,6,0,"Attchd","Good_Privacy",136000
10552,"North_Ames","Average","Average",1959,"Hip","Typical","Y",1700,1,1,4,1,6,1,"Attchd","No_Fence",165500
8400,"North_Ames","Average","Above_Average",1957,"Gable","Typical","Y",1314,1,0,3,1,5,0,"Attchd","No_Fence",145000
8760,"North_Ames","Above_Average","Above_Average",1959,"Hip","Typical","Y",1194,1,0,3,1,6,0,"Attchd","No_Fence",148000
12160,"North_Ames","Average","Average",1959,"Hip","Typical","Y",1188,1,0,3,1,6,0,"Attchd","Minimum_Privacy",142000
9300,"North_Ames","Average","Average",1960,"Gable","Typical","Y",1264,1,0,3,1,6,2,"Attchd","No_Fence",167500
10725,"North_Ames","Average","Average",1959,"Hip","Typical","Y",1206,1,0,3,1,6,0,"Attchd","No_Fence",108538
10032,"North_Ames","Above_Average","Average",1959,"Gable","Typical","Y",1580,1,1,3,1,6,2,"Attchd","Good_Wood",159500
8382,"North_Ames","Below_Average","Average",1956,"Gable","Typical","Y",1337,1,0,3,1,5,0,"Attchd","No_Fence",108000
10950,"North_Ames","Average","Good",1952,"Gable","Typical","Y",1064,1,0,2,1,4,0,"Detchd","No_Fence",135000
10895,"North_Ames","Average","Above_Average",1955,"Gable","Typical","Y",972,1,0,3,1,5,0,"Attchd","Good_Wood",122500
13587,"North_Ames","Average","Average",1958,"Gable","Typical","Y",988,1,0,2,1,5,0,"Attchd","No_Fence",119000
7922,"North_Ames","Average","Good",1953,"Gable","Typical","Y",1057,1,0,3,1,5,0,"Detchd","No_Fence",109000
7898,"North_Ames","Below_Average","Good",1920,"Gable","Typical","Y",985,1,0,2,1,4,0,"Detchd","No_Fence",105000
7200,"North_Ames","Average","Good",1955,"Gable","No_Basement","Y",827,1,0,2,1,5,1,"Detchd","No_Fence",107500
10200,"North_Ames","Average","Good",1954,"Gable","Typical","Y",1086,1,0,3,1,6,0,"Attchd","Good_Wood",144900
5868,"North_Ames","Average","Good",1956,"Gable","Typical","Y",936,1,0,2,1,4,0,"Attchd","No_Fence",129000
17503,"North_Ames","Above_Average","Average",1948,"Gable","Typical","Y",1458,1,0,3,1,6,1,"Attchd","No_Fence",97500
6979,"Old_Town","Above_Average","Average",1980,"Gable","Typical","Y",1056,0,0,0,2,4,0,"Detchd","Good_Privacy",144000
9830,"North_Ames","Average","Good",1959,"Gable","Typical","Y",1287,1,0,3,1,7,1,"Detchd","No_Fence",162000
11275,"North_Ames","Good","Good",1967,"Mansard","Typical","Y",2978,2,1,5,1,11,1,"BuiltIn","No_Fence",242000
8064,"North_Ames","Above_Average","Very_Good",1948,"Gable","Typical","Y",1224,1,0,3,1,5,0,"Detchd","Good_Wood",132000
7500,"North_Ames","Average","Good",1959,"Hip","Typical","Y",1246,1,1,3,1,6,0,"Attchd","Good_Privacy",154000
8520,"North_Ames","Average","Below_Average",1952,"Gable","Typical","Y",1385,2,0,4,1,6,0,"Detchd","Minimum_Privacy",166000
7200,"North_Ames","Average","Good",1951,"Gable","Typical","Y",900,1,0,3,1,5,0,"Detchd","No_Fence",134800
10000,"North_Ames","Above_Average","Above_Average",1962,"Hip","Typical","Y",1116,1,1,3,1,5,0,"Attchd","No_Fence",160000
7635,"North_Ames","Average","Above_Average",1960,"Gable","Typical","Y",1175,1,1,3,1,6,0,"Detchd","No_Fence",148000
9760,"North_Ames","Above_Average","Good",1963,"Hip","Typical","Y",1395,1,0,2,1,7,1,"Attchd","No_Fence",192000
7700,"North_Ames","Above_Average","Average",1966,"Gable","Typical","Y",1839,1,1,4,1,7,1,"Attchd","No_Fence",155000
4800,"Old_Town","Below_Average","Average",1900,"Hip","Typical","Y",1844,1,0,3,1,9,2,"Basment","No_Fence",80400
8800,"Old_Town","Below_Average","Good",1910,"Gable","Fair","Y",1140,1,0,3,1,7,0,"No_Garage","No_Fence",96500
4485,"Old_Town","Average","Good",1920,"Gable","Typical","Y",936,1,0,2,1,5,1,"No_Garage","Minimum_Privacy",109500
8960,"Old_Town","Average","Above_Average",1927,"Gable","Typical","Y",1028,1,0,2,1,5,1,"Detchd","No_Fence",115000
5805,"Old_Town","Average","Good",1957,"Hip","Typical","Y",1347,1,0,3,1,6,0,"Detchd","No_Fence",143000
5790,"Old_Town","Fair","Above_Average",1915,"Gambrel","Typical","N",1605,2,0,3,2,8,0,"Detchd","No_Fence",107400
4608,"Old_Town","Below_Average","Above_Average",1945,"Gable","Typical","Y",747,1,0,2,1,4,0,"Attchd","No_Fence",80000
7200,"Old_Town","Average","Good",1940,"Gable","Typical","Y",804,1,0,2,1,4,2,"Attchd","Minimum_Privacy",119000
5500,"Old_Town","Average","Good",1929,"Gable","Typical","Y",1316,1,0,3,1,6,0,"Detchd","No_Fence",130000
6900,"Old_Town","Above_Average","Good",1938,"Gable","Typical","Y",1251,1,0,3,1,6,0,"Detchd","No_Fence",119000
11851,"Old_Town","Average","Good",1948,"Gable","Typical","Y",1633,1,0,3,1,7,1,"Detchd","No_Fence",129000
8239,"Old_Town","Average","Above_Average",1920,"Gable","Typical","Y",1245,1,0,3,1,6,0,"Detchd","No_Fence",100000
9656,"Old_Town","Poor","Poor",1923,"Gable","Fair","N",832,1,0,2,1,5,1,"Detchd","No_Fence",12789
8520,"Old_Town","Above_Average","Very_Good",1928,"Gable","Typical","Y",720,1,0,2,1,5,0,"Detchd","No_Fence",105900
9600,"Old_Town","Very_Good","Excellent",1900,"Gable","Typical","N",1566,2,0,3,1,7,0,"Detchd","No_Fence",150000
10800,"Old_Town","Average","Above_Average",1915,"Gable","Typical","Y",1652,2,0,4,1,7,0,"Detchd","No_Fence",139000
9000,"Old_Town","Very_Good","Excellent",1890,"Gable","Fair","Y",2268,3,0,3,1,7,0,"Detchd","No_Fence",240000
9045,"Old_Town","Average","Fair",1910,"Gable","Typical","N",2256,2,0,4,2,12,0,"No_Garage","No_Fence",76500
7407,"Old_Town","Above_Average","Good",1957,"Gable","Typical","Y",1236,1,0,2,1,6,0,"Attchd","Minimum_Privacy",149700
7740,"Old_Town","Below_Average","Good",1910,"Gable","Typical","Y",1363,1,0,3,1,6,0,"Detchd","No_Fence",125500
11340,"Old_Town","Below_Average","Above_Average",1885,"Gable","Typical","Y",2290,2,0,4,2,11,0,"Detchd","No_Fence",122500
10560,"Old_Town","Above_Average","Good",1922,"Gable","Typical","Y",1470,1,1,2,1,6,0,"Detchd","No_Fence",140750
5830,"Brookside","Average","Above_Average",1950,"Gable","Typical","Y",1612,1,1,3,1,7,0,"Detchd","Minimum_Privacy",128500
7793,"Brookside","Good","Good",1922,"Gable","Typical","N",2068,1,1,3,1,8,1,"Detchd","No_Fence",209500
5000,"Brookside","Below_Average","Good",1925,"Gable","Typical","N",765,1,0,2,1,4,0,"Detchd","Minimum_Privacy",87000
6000,"Brookside","Above_Average","Good",1939,"Gable","Good","Y",1132,1,0,2,1,5,0,"Detchd","Minimum_Privacy",134000
6000,"Brookside","Above_Average","Above_Average",1940,"Gable","Typical","Y",1196,1,1,3,1,6,2,"Detchd","No_Fence",128000
6360,"Brookside","Average","Above_Average",1942,"Gable","Typical","Y",1453,1,1,3,1,7,2,"Detchd","No_Fence",132000
6000,"Brookside","Above_Average","Good",1948,"Gable","Typical","Y",1416,1,1,3,1,6,0,"Detchd","No_Fence",139900
6240,"Brookside","Average","Good",1936,"Gable","Fair","Y",1040,1,0,2,1,5,0,"Detchd","No_Fence",123900
6240,"Brookside","Average","Average",1930,"Gable","Typical","Y",1536,2,0,4,1,7,1,"Detchd","Minimum_Privacy",138400
6120,"Old_Town","Above_Average","Average",1923,"Gable","Fair","Y",1068,1,0,2,1,5,1,"Detchd","No_Fence",109500
10300,"Old_Town","Good","Above_Average",1921,"Gable","Typical","Y",1710,2,0,3,1,9,0,"Detchd","Good_Privacy",140000
8094,"Old_Town","Below_Average","Average",1915,"Gable","Typical","Y",1962,1,1,4,1,9,1,"Detchd","Good_Privacy",149500
12900,"Old_Town","Above_Average","Very_Good",1912,"Gable","Typical","Y",1560,1,1,3,1,7,0,"No_Garage","No_Fence",159900
3068,"Old_Town","Above_Average","Very_Good",1920,"Gable","Typical","Y",1324,1,0,3,1,6,0,"Detchd","Good_Privacy",122000
8472,"Iowa_DOT_and_Rail_Road","Average","Average",1963,"Gable","Typical","N",816,1,0,2,1,5,0,"CarPort","No_Fence",110000
5600,"Iowa_DOT_and_Rail_Road","Below_Average","Average",1930,"Hip","No_Basement","N",1092,2,0,3,2,7,0,"No_Garage","No_Fence",55000
7630,"Old_Town","Average","Excellent",1900,"Gable","Typical","Y",1812,2,0,4,2,8,1,"Detchd","Minimum_Privacy",140000
24090,"Clear_Creek","Good","Good",1940,"Gable","Typical","Y",2403,2,0,4,1,10,2,"Attchd","No_Fence",244400
15263,"Clear_Creek","Average","Average",1959,"Gable","Typical","Y",1675,2,0,3,1,8,2,"Attchd","No_Fence",173000
10632,"Clear_Creek","Average","Fair",1917,"Gable","Fair","N",1224,1,1,3,1,6,0,"Detchd","No_Fence",107500
9900,"South_and_West_of_Iowa_State_University","Average","Below_Average",1915,"Gable","Typical","N",1392,1,0,3,1,6,0,"No_Garage","No_Fence",100000
