"county","state","popadults","perchsd","percollege","percprof","percbelowpoverty","percchildbelowpovert","percadultpoverty","percelderlypoverty"
"MASON","IL",10729,72.5789915,13.5054525,2.8986858,15.5070203,24.1131352,12.8400955,11.6038007
"MASSAC","IL",10068,65.3059197,14.034565,2.93007549,16.7410092,22.9808251,14.9682372,14.3283582
"MENARD","IL",7390,77.3071719,18.511502,3.51826793,9.55855527,12.4503311,7.89163722,10.1449275
"MERCER","IL",11357,77.3531743,16.4744211,3.11702034,10.1317182,11.4663727,9.01086957,11.4338123
"MONROE","IL",14613,75.8639568,19.9206186,3.31896257,4.81174392,4.77462437,4.21197857,6.83692471
"MONTGOMERY","IL",20386,72.1917002,11.723732,2.5262435,14.0295831,17.7958446,12.2912264,13.4700076
"MORGAN","IL",23605,75.9034103,20.7244228,5.65981784,11.1954009,12.3290901,10.1418555,12.6183885
"MOULTRIE","IL",9282,70.2865762,15.7185951,2.99504417,11.3432165,15.2669633,9.10269336,11.856585
"OGLE","IL",29575,77.602705,18.7793745,3.47252747,7.24535143,8.54618474,6.26131745,8.28708375
"PEORIA","IL",115963,77.9326164,25.838414,6.59003303,14.5278437,21.8711768,12.4275854,10.3180428
"PERRY","IL",13921,67.839954,13.5622441,2.20530134,15.8368895,20.8596713,13.3475898,15.8660508
"PIATT","IL",10458,82.950851,22.011857,5.19219736,6.13124388,7.06766917,4.61225953,9.16779432
"PIKE","IL",11820,69.856176,12.1742809,2.30964467,17.9326231,23.3325587,15.0834773,18.2773589
"POPE","IL",2821,65.1542006,14.2502659,2.48138958,25.1682692,36.4729459,24.4148692,15.3611394
"PULASKI","IL",4816,59.7799003,14.3687708,2.20099668,30.184115,40.0374181,23.867741,31.1619718
"PUTNAM","IL",3783,75.8128469,16.5212794,3.43642612,7.54980776,10.4780616,6.22734761,7.15517241
"RANDOLPH","IL",22847,64.2228739,12.7412789,2.95881297,11.0021183,14.2925089,8.99560578,11.678487
"RICHLAND","IL",10917,73.4908858,21.5077402,3.62737016,13.9758442,18.6600613,12.0681606,12.94943
"ROCK ISLAND","IL",96715,77.3747609,21.3007289,4.49775112,13.1845267,19.375,11.7520934,9.05748897
"ST CLAIR","IL",162550,72.5868963,21.184251,5.38911104,17.43177,26.7291879,14.2654008,11.8686334
"SALINE","IL",18020,63.2241953,15.4883463,3.63485017,20.183989,26.6991079,18.6944068,16.8465816
"SANGAMON","IL",117686,81.7709838,28.9881549,8.169196,9.88816583,13.7008576,8.21267648,9.76442912
"SCHUYLER","IL",5090,69.410609,14.6365422,2.75049116,16.496945,21.9134153,13.6461126,16.7800454
"SCOTT","IL",3732,73.6066452,13.0760986,2.25080386,11.5274292,14.2564802,9.37067773,13.3606557
"SHELBY","IL",14745,72.7229569,15.9511699,3.78433367,10.0045434,12.0917304,8.6534177,10.629843
"STARK","IL",4396,77.0245678,16.8789809,2.9799818,12.4609619,19.0391459,10.4477612,9.38748336
"STEPHENSON","IL",31555,76.691491,19.8795753,3.8821106,9.90788777,13.5032583,8.35417318,9.50578339
"TAZEWELL","IL",80310,78.5941975,20.0448263,3.92105591,9.13257358,12.8933916,7.91641669,7.28836792
"UNION","IL",12092,64.2242805,17.8795898,4.00264638,18.1596624,24.9001996,14.6790039,19.010096
"VERMILION","IL",58087,72.751218,17.0571729,4.06114965,15.2386659,22.5401872,13.0433821,11.4093571
"WABASH","IL",8520,74.870892,24.7300469,3.92018779,12.9426415,17.0275883,11.5272938,11.3899614
"WARREN","IL",12220,76.309329,20.4582651,4.57446809,14.2334771,18.9009662,12.8320964,11.7299162
"WASHINGTON","IL",9906,65.7278417,15.9600242,2.44296386,9.28180575,9.81610982,7.66360123,12.3771499
"WAYNE","IL",11613,63.0586412,15.6807027,2.75553259,14.3954497,19.6855936,11.6169183,14.7752126
"WHITE","IL",11451,66.2212907,15.9287398,3.24862457,19.0564636,27.0340525,16.4872384,16.7161961
"WHITESIDE","IL",39020,73.2880574,16.5530497,3.54177345,10.9610196,14.7232262,9.50370254,9.8152526
"WILL","IL",215823,80.43026,24.7568609,5.88723167,6.03472031,7.46308545,4.79919768,8.5633985
"WILLIAMSON","IL",38733,71.7811685,21.0595616,4.9802494,15.8013424,22.3945816,13.6188171,13.8197853
"Winnebago","IL",163047,76.2964053,22.652364,5.1819414,10.11722,14.5814097,8.22470776,9.62654586
"WOODFORD","IL",20469,80.0136792,22.8052176,4.97337437,7.18770706,10.0139231,5.62835021,7.15055695
"ADAMS","IN",18119,74.3970418,16.1156797,4.86229924,11.6366022,17.1945239,9.10188775,8.71402697
"ALLEN","IN",187856,81.1552466,27.3597862,6.85950941,7.90353294,10.533689,6.7890146,7.30149415
"BARTHOLOMEW","IN",41218,76.9032947,22.8468145,6.84409724,8.54517074,10.736855,6.99242014,10.8119434
"BENTON","IN",6053,77.0857426,13.4643978,4.01453825,8.04301075,8.34921845,6.84232894,10.5022831
"BLACKFORD","IN",9259,72.9884437,12.9819635,4.42812399,9.85398835,12.3237451,8.33224671,10.9375
"BOONE","IN",24915,82.4683925,27.8306241,8.81396749,6.29645474,8.02175391,5.23959855,7.08942537
"BROWN","IN",9510,76.4353312,19.8002103,6.16193481,6.86836822,8.09384164,6.16327041,7.44387554
"CARROLL","IN",12241,76.1702475,15.4562536,3.79870926,7.49270191,9.38326888,5.63980573,10.1830664
"CASS","IN",25123,75.8906182,13.2149823,4.02420093,10.3468611,13.3524412,9.47268075,8.55725506
"CLARK","IN",56970,72.7575917,16.8123574,4.05476567,10.0649125,13.752694,8.18791412,10.9526235
"CLAY","IN",16197,75.884423,14.1137248,4.29709205,11.8432404,15.1636813,9.70500549,12.9662175
"CLINTON","IN",19875,76.1610063,16.045283,4.5081761,9.4051687,11.7393903,7.80756609,10.5207037
"CRAWFORD","IN",6297,59.5680483,8.54375099,2.93790694,18.4662577,22.923588,14.3980528,24.0462428
"DAVIESS","IN",17267,66.2187989,13.2391267,3.35900851,15.5413444,20.7750953,12.3878965,15.9292035
"DEARBORN","IN",24335,73.4785289,15.5742757,4.24491473,8.48015894,10.7832521,7.1425195,8.94133289
"DECATUR","IN",14625,72.3350427,13.9213675,4.56068376,9.06431491,11.116045,7.66800916,10.0627287
"DE KALB","IN",21801,77.5469015,15.581854,4.45392413,6.45652112,8.76933688,4.93601463,7.47427333
"DELAWARE","IN",70609,74.4664278,21.1970145,8.38844906,16.7477272,17.661107,17.8898595,11.7679641
"DUBOIS","IN",22921,72.2307055,17.1676628,4.47188168,6.13661065,5.50713154,4.41161892,13.4687333
"ELKHART","IN",96003,72.8060581,18.3723425,5.36649896,7.04203252,9.86358867,5.80470664,6.30558874
"FAYETTE","IN",16744,63.9094601,11.4249881,3.78643096,10.7856556,14.6890163,8.84701144,10.8691186
"FLOYD","IN",41499,73.2234512,20.5498928,6.40015422,11.0080874,16.0648533,8.19145697,12.6123514
"FOUNTAIN","IN",11700,72.965812,11.1452991,3.29059829,9.83895749,13.1136951,7.04975016,12.6510878
"FRANKLIN","IN",12029,65.2672708,12.9935988,3.54975476,10.6270968,12.6787252,8.36868492,14.2276423
"FULTON","IN",12405,75.3164047,13.929867,4.15961306,10.3379722,12.8706879,9.1876013,10.0211528
"GIBSON","IN",20949,72.8053845,15.50432,3.50852069,9.63843897,11.1341717,7.94889993,12.2426177
"GRANT","IN",47541,71.7570097,15.5381671,5.48579121,13.0816506,18.2321973,11.6630942,10.2415235
"GREENE","IN",20124,71.5861658,14.9522958,4.35301133,13.1788897,18.2160478,11.4086437,11.5055672
"HAMILTON","IN",69127,88.6961679,42.1311499,12.0893428,3.59164389,4.25498008,2.92675381,5.45073375
"HANCOCK","IN",29024,80.1095645,20.4899394,6.60832415,4.46341247,5.62774014,3.50094256,6.07751938
"HARRISON","IN",18829,71.1243295,13.1074407,3.83982155,9.83118509,12.58419,7.53536948,12.9673655
"HENDRICKS","IN",48047,84.0656024,24.2200345,7.15965617,3.66904804,4.22803082,2.84384454,6.13503237
"HENRY","IN",31989,71.374535,13.2576823,4.41714339,12.3508164,17.2683924,10.6034222,11.0881168
"HOWARD","IN",52042,78.453941,20.2298144,5.75881019,11.5152123,16.9615277,9.59316926,9.26146753
"HUNTINGTON","IN",22188,78.5559762,16.9731386,4.84946818,6.56452598,7.3208402,5.38424668,9.07244414
"JACKSON","IN",24151,69.3263219,13.1423129,3.82592853,10.4921027,13.5361596,8.64372075,11.5976685
"JASPER","IN",14984,75.5205553,14.8558462,5.23224773,7.9706499,10.070028,6.37300843,9.37019969
"JAY","IN",13843,68.8795781,12.771798,4.43545474,9.74078096,11.8595994,8.39788732,10.5313547
"JEFFERSON","IN",18876,70.285018,17.5460903,5.50434414,11.63417,15.6190216,9.61010784,12.1604938
"JENNINGS","IN",14942,64.0811136,10.1458975,3.38642752,12.8030104,16.947001,10.3086514,14.7733961
"JOHNSON","IN",55137,80.4069862,22.308069,6.24988665,6.90263832,8.75542692,5.76260508,8.17939609
"KNOX","IN",24740,74.5028294,19.9757478,5.29506871,15.6978787,19.8819543,14.454248,13.9807342
"KOSCIUSKO","IN",40321,77.475757,19.2629151,5.91751197,6.64170956,8.2147651,5.32189084,8.34152093
"LAGRANGE","IN",16100,56.6521739,11.1118012,3.46583851,11.5079091,15.9615575,7.96751242,13.4746404
"LAKE","IN",298552,73.478322,17.6686138,4.93917308,13.8051489,21.5110371,11.0934323,9.95578032
"LA PORTE","IN",70102,73.9080197,17.1792531,4.87860546,10.0542884,14.6622858,8.53452003,7.91819325
"LAWRENCE","IN",28005,69.7089805,13.1476522,3.84931262,9.72195863,12.5923191,7.86502438,11.2748803
"MADISON","IN",84886,73.4502745,16.401998,5.07268572,12.7249193,19.8256124,10.5838631,9.4521245
"MARION","IN",511309,76.8046328,26.7446886,7.68654571,12.058044,18.1554118,9.76327509,10.7259641
"MARSHALL","IN",26511,73.9692958,17.7775263,5.35249519,7.54512374,9.9233426,5.89902569,8.81351121
"MARTIN","IN",6625,64.4075472,13.5396226,3.38113208,13.8478112,17.9383712,11.3361763,15.455035
"MIAMI","IN",22509,76.4272069,14.4075703,3.88733396,10.9393678,15.2701644,9.26941094,9.05255757
"MONROE","IN",57368,82.1032631,37.7422954,17.2012272,19.4390189,14.3463367,22.9989983,9.5751634
"MONTGOMERY","IN",22174,80.0487057,16.9252277,5.80860467,9.39771391,11.8232951,7.65231519,11.2698928
"MORGAN","IN",35089,73.5786144,14.6798142,4.43443814,6.67728276,8.36697487,5.18163722,9.53302374
"NEWTON","IN",8567,72.4407611,12.1746236,3.18664643,8.8580015,12.6107348,7.11798301,8.02442215
"NOBLE","IN",23151,72.0832793,12.6387629,3.5592415,8.04881983,11.6240876,6.00627082,8.47923103
"OHIO","IN",3457,67.7176743,10.7029216,1.79346254,9.88427243,8.62688713,8.58398107,15.9609121
"ORANGE","IN",11902,64.9302638,9.78827088,2.83985885,15.3455228,19.423275,12.7880658,16.7800454
"OWEN","IN",11151,66.2720832,11.1649179,3.25531342,13.5515663,17.9775281,11.1626436,14.4039735
"PARKE","IN",10217,76.7348537,14.6129001,4.31633552,12.1961075,13.0620985,10.3266992,15.9411012
"PERRY","IN",12271,65.3573466,11.0422948,2.90929835,11.6225293,14.1656417,9.28652322,14.5016797
"PIKE","IN",8387,65.482294,13.842852,3.89889114,13.2637372,19.8807157,10.5921723,12.6115166
"PORTER","IN",79625,82.4075353,24.455887,7.83924647,6.11662591,7.48438387,5.48997025,5.97111701
"POSEY","IN",16513,76.2974626,17.2106825,4.59032278,7.62490751,8.9456869,5.92997509,11.3455809
"PULASKI","IN",7974,71.8961625,14.1710559,3.51141209,10.8285875,13.6955919,8.91951838,11.4992151
"PUTNAM","IN",18437,76.0535879,15.734664,5.5811683,8.27324333,10.7356154,6.72192811,9.37950938
"RANDOLPH","IN",17694,71.8548661,12.6200972,4.53826156,11.3516742,15.7303371,9.68322036,10.1874188
"RIPLEY","IN",15331,68.8148196,13.5281456,3.99191181,10.547358,12.9624319,8.24702723,13.6374324
"RUSH","IN",11404,73.5882147,12.8463697,3.89337075,11.1774404,13.4143785,9.50972105,12.7012522
"ST JOSEPH","IN",154443,76.0630135,24.611669,8.10007576,9.65490781,13.8132517,8.19188249,8.14209511
"SCOTT","IN",13060,59.992343,10.5895865,3.27718224,18.9813917,26.8822813,15.8872136,16.0839161
"SHELBY","IN",25585,74.1254641,14.7000195,3.70529607,7.23109825,9.41501612,5.43236263,9.82587065
"SPENCER","IN",12509,71.9242146,14.1338236,4.44479974,9.85760653,10.7415902,8.0898243,14.2547258
"STARKE","IN",14260,59.9158485,10.0140252,3.00841515,13.425739,18.5185185,11.8391095,10.2341299
"STEUBEN","IN",17256,78.9986092,18.6080204,5.44738062,5.63279454,5.03225806,5.17698213,7.88116361
"SULLIVAN","IN",12602,74.0676083,15.4816696,4.12632915,12.5120463,15.4133002,9.67541222,15.6844106
"SWITZERLAND","IN",5015,65.8025922,9.47158524,3.17048853,15.2193965,20.3518783,11.365332,18.4300341
"TIPPECANOE","IN",69148,85.1781686,36.2454446,15.2571296,14.3816521,10.5675147,17.1884131,7.86494538
"TIPTON","IN",10511,77.0335839,15.4219389,4.87108743,6.43946526,8.11649558,5.04670768,8.19285233
"UNION","IN",4397,71.2531271,12.6449852,3.91175802,9.47922762,11.5527292,7.66578249,11.9592875
"VANDERBURGH","IN",109217,75.2044096,21.7585174,6.47426683,12.4767028,17.096145,10.8453217,11.4168894
"VERMILLION","IN",11163,72.0594822,12.2726866,3.52951715,11.6709106,14.7683398,9.87012987,12.5608011
"VIGO","IN",66140,75.9842758,22.7230118,8.7526459,14.6943267,18.5088374,13.7729456,12.5077272
"WABASH","IN",22008,74.3865867,16.0805162,4.98455107,9.1922343,10.4414545,8.93758669,8.08468078
"WARREN","IN",5403,71.6083657,13.399963,3.03535073,9.16408669,11.1265647,7.32876712,11.6384915
"WARRICK","IN",28368,80.1254935,23.8155668,5.85166385,6.58195737,8.66166853,5.20934196,8.198136
"WASHINGTON","IN",14989,66.1685236,10.8145974,2.88211355,14.296708,18.0585852,11.5780578,17.1385238
"WAYNE","IN",46603,71.2443405,15.5891252,5.13486256,14.8926049,20.8136394,13.2868788,11.6376769
"WELLS","IN",16396,79.0009758,18.5655038,5.58672847,5.57257304,6.61065969,4.43388757,7.49419954
"WHITE","IN",15292,77.8773215,16.5838347,5.16609992,7.70436145,8.13656669,6.16872291,11.0403397
"WHITLEY","IN",17369,78.8761587,15.809776,4.22016236,5.22549631,6.12323492,3.90956194,7.95652174
"ALCONA","MI",7368,68.553203,14.1150923,3.24375679,17.250996,27.2045028,16.6173986,11.5069357
"ALGER","MI",6009,73.0237976,16.2755866,3.82759195,14.4817795,19.2080109,12.3091161,13.9679255
"ALLEGAN","MI",55740,74.4384643,18.0660208,4.03659849,9.49798609,11.8957846,7.93385737,10.4949449
"ALPENA","MI",20165,73.597818,18.9337962,4.23010166,13.4755515,17.0423241,12.1669518,12.2930256
"ANTRIM","MI",12185,76.3807961,19.039803,5.01436192,13.2148033,18.7581416,12.0375423,9.68128445
"ARENAC","MI",9782,65.3956246,11.8278471,2.58638315,20.6492089,28.9513678,18.2323366,16.0544649
"BARAGA","MI",5166,70.4800619,14.5760743,3.36817654,16.8181818,22.3873442,14.2559291,15.8131683
"BARRY","MI",31892,78.2641415,17.2519754,3.86303775,9.07498319,11.6531558,8.00437796,8.27717737
"BAY","MI",71684,73.9872217,18.2258245,3.66190503,12.5302165,17.5860997,10.9708597,9.98930263
"BENZIE","MI",8333,76.6470659,21.4208568,4.68018721,12.8591538,18.6411745,11.3047574,10.3274559
"BERRIEN","MI",102485,74.7270332,23.742011,6.30140996,14.7057709,22.975087,11.852965,10.9998965
"BRANCH","MI",26446,73.7880965,16.066702,3.51281857,14.0848613,20.8565121,11.6031599,10.717385
"CALHOUN","MI",86623,76.8387149,21.4885192,4.76778685,14.2920025,21.3346103,12.370767,9.57053103
"CASS","MI",31841,72.2778807,15.8443516,3.42639992,11.8824827,17.7992278,9.57841732,10.2969621
"CHARLEVOIX","MI",13963,79.6963403,22.6527251,5.06338179,10.3952941,13.8431922,8.11281337,12.0059289
"CHEBOYGAN","MI",14207,73.5412121,14.6477089,3.01259942,15.5614542,21.159054,13.3028806,14.1585593
"CHIPPEWA","MI",21848,73.5948371,16.9397657,3.80812889,17.0759004,20.9559748,16.1035046,14.3391521
"CLARE","MI",16401,66.9105542,12.0419487,2.76812389,23.7134002,35.978586,22.1719457,13.5634167
"CLINTON","MI",35745,83.6844314,22.8647363,4.94614631,6.01778536,7.36650485,4.98168716,7.71621622
"CRAWFORD","MI",8057,73.2034256,18.7787018,4.98945017,14.5907166,20.8293153,12.8239203,10.9926169
"DELTA","MI",24476,76.8875633,18.912404,3.52590293,14.6125342,18.591133,13.127551,13.1073145
"DICKINSON","MI",17972,78.5221456,20.4206544,3.80035611,9.8998299,12.2511263,7.1444387,13.4107884
"EATON","MI",58205,85.5304527,26.9787819,6.14723821,6.81371478,8.91257154,5.70213714,7.35389086
"EMMET","MI",16448,81.535749,26.8725681,6.49319066,8.51470648,10.2641509,7.11646468,10.1717902
"GENESEE","MI",265430,76.7660023,20.1454244,4.80201936,16.4631781,25.2357066,13.84395,9.70689451
"GLADWIN","MI",14388,64.8040033,11.4331387,2.20322491,22.3233677,33.1810193,20.1047987,14.9024246
"GOGEBIC","MI",12497,76.2743058,21.1730815,3.35280467,14.8806442,19.5447798,13.5987339,13.257945
"GRAND TRAVERSE","MI",41094,84.861537,30.9753249,7.0253565,8.54911566,11.2048541,7.49803127,7.69153931
"GRATIOT","MI",23966,77.0675123,16.4441292,4.20595844,14.0803187,19.1593729,12.4962511,10.7022876
"HILLSDALE","MI",26657,75.211014,16.4684698,4.14900401,12.8031705,16.4067013,11.2972735,11.509408
"HOUGHTON","MI",20646,73.9416836,24.7650877,7.32829604,21.0367357,21.1989796,23.6971485,14.5784943
"HURON","MI",22798,67.9928064,14.3082727,3.08799017,15.0098596,17.9445876,13.4359815,14.9548881
"INGHAM","MI",158966,83.8676195,36.7600619,12.8599826,16.6181628,18.9472436,17.0660584,9.3982718
"IONIA","MI",33466,77.2156816,15.116835,3.40046614,11.3299159,14.9650878,9.34628975,11.1096292
"IOSCO","MI",19194,76.3155153,16.2342399,3.63134313,14.1585927,18.5825964,12.2557611,13.2756867
"IRON","MI",9594,72.9726913,15.4575777,3.28330206,17.1193543,23.3241189,14.4561646,16.5122357
"ISABELLA","MI",26492,79.7448286,27.2497358,10.0030198,24.8546332,21.2696866,28.4791467,13.966294
"JACKSON","MI",97049,77.6916815,21.2057826,4.08144339,12.0132365,17.1500264,10.1758057,9.9349205
"KALAMAZOO","MI",134684,83.4241632,34.5571857,10.8520685,13.4748672,16.1371424,13.5013362,8.63585267
"KALKASKA","MI",8485,69.6169711,11.4555097,2.38067177,14.2256587,17.2608361,12.5250501,14.2446634
"KENT","MI",305356,80.2882537,28.6383762,6.46131073,9.15135108,12.4240562,7.78036993,8.09425626
"KEWEENAW","MI",1287,64.3356643,14.4522145,3.57420357,20.5778302,21.8844985,21.2765957,19.0243902
"LAKE","MI",5931,61.288147,11.3134379,2.00640701,26.4099201,37.6986038,25.0707123,18.8764973
"LAPEER","MI",45437,77.6019544,16.1542355,3.2572573,8.19289921,10.8173406,6.89849757,7.908968
"LEELANAU","MI",11127,85.099308,32.5963872,8.25918936,9.00621118,12.8336041,7.04916163,9.20502092
"LENAWEE","MI",56323,76.3258349,18.7880617,4.58604833,10.4015537,13.9918186,8.62787596,10.0333983
"LIVINGSTON","MI",72343,85.5687489,27.5866359,6.47747536,4.13104415,5.29198774,3.22646163,6.05403732
"LUCE","MI",3811,69.5880346,14.4056678,3.33245867,17.6787639,22.9434447,16.8765743,12.8350934
"MACKINAC","MI",7156,71.3806596,15.2878703,2.78088317,16.4049196,22.2423146,14.9934567,12.9071661
"MACOMB","MI",472323,76.9287119,20.6866911,4.43001929,5.19306071,7.35610433,4.10136736,5.95219197
"MANISTEE","MI",14619,73.295027,16.2528217,3.39284493,17.6238095,25.9354583,15.3846154,14.1412138
"MARQUETTE","MI",42386,81.7722833,26.763554,6.7994149,12.6088135,14.2621599,11.84465,12.523891
"MASON","MI",16796,76.1252679,18.5401286,4.06644439,14.0613194,20.0209958,12.4061605,10.7592659
"MECOSTA","MI",19005,77.7426993,25.0460405,7.84530387,25.0681951,25.5436141,28.2299641,13.1685725
"MENOMINEE","MI",16514,74.282427,15.084171,2.65229502,12.7514046,14.0686721,11.3086771,14.551258
"MIDLAND","MI",47213,83.2440218,35.6088365,11.1854786,11.0851824,14.5056449,10.1340285,8.30024213
"MISSAUKEE","MI",7628,69.3890928,13.280021,2.39905611,17.2889,23.7570621,15.07431,13.2467532
"MONROE","MI",82291,74.0882964,17.4296096,4.00529827,8.6398101,11.9992591,6.77596351,9.38262438
"MONTCALM","MI",32959,73.3851148,14.160017,2.93698231,15.3187478,19.1582873,13.6934028,13.7735631
