"PID","county","poptotal","IL","IN","MI","OH","WI"
1223,"GOGEBIC",18052,NA,NA,0.068,NA,NA
1224,"GRAND TRAVERSE",64273,NA,NA,0.03,NA,NA
1225,"GRATIOT",38982,NA,NA,0.033,NA,NA
1226,"HILLSDALE",43431,NA,NA,0.034,NA,NA
1227,"HOUGHTON",35446,NA,NA,0.06,NA,NA
1228,"HURON",34951,NA,NA,0.05,NA,NA
1229,"INGHAM",281912,NA,NA,0.034,NA,NA
1230,"IONIA",57024,NA,NA,0.034,NA,NA
1231,"IOSCO",30209,NA,NA,0.033,NA,NA
1232,"IRON",13175,NA,NA,0.07,NA,NA
1233,"ISABELLA",54624,NA,NA,0.034,NA,NA
1234,"JACKSON",149756,NA,NA,0.043,NA,NA
1235,"KALAMAZOO",223411,NA,NA,0.033,NA,NA
1236,"KALKASKA",13497,NA,NA,0.033,NA,NA
1237,"KENT",500631,NA,NA,0.05,NA,NA
1238,"KEWEENAW",1701,NA,NA,0.02,NA,NA
1239,"LAKE",8583,NA,NA,0.035,NA,NA
1240,"LAPEER",74768,NA,NA,0.038,NA,NA
1241,"LEELANAU",16527,NA,NA,0.021,NA,NA
1242,"LENAWEE",91476,NA,NA,0.043,NA,NA
1243,"LIVINGSTON",115645,NA,NA,0.034,NA,NA
1244,"LUCE",5763,NA,NA,0.055,NA,NA
1245,"MACKINAC",10674,NA,NA,0.059,NA,NA
1246,"MACOMB",717400,NA,NA,0.028,NA,NA
1247,"MANISTEE",21265,NA,NA,0.032,NA,NA
1248,"MARQUETTE",70887,NA,NA,0.11,NA,NA
1249,"MASON",25537,NA,NA,0.029,NA,NA
1250,"MECOSTA",37308,NA,NA,0.034,NA,NA
1251,"MENOMINEE",24920,NA,NA,0.064,NA,NA
1252,"MIDLAND",75651,NA,NA,0.031,NA,NA
1253,"MISSAUKEE",12147,NA,NA,0.033,NA,NA
1254,"MONROE",133600,NA,NA,0.033,NA,NA
1255,"MONTCALM",53059,NA,NA,0.042,NA,NA
1256,"MONTMORENCY",8936,NA,NA,0.033,NA,NA
1257,"MUSKEGON",158983,NA,NA,0.028,NA,NA
1258,"NEWAYGO",38202,NA,NA,0.051,NA,NA
1259,"OAKLAND",1083592,NA,NA,0.055,NA,NA
1260,"OCEANA",22454,NA,NA,0.03,NA,NA
1261,"OGEMAW",18681,NA,NA,0.032,NA,NA
1262,"ONTONAGON",8854,NA,NA,0.078,NA,NA
1263,"OSCEOLA",20146,NA,NA,0.034,NA,NA
1264,"OSCODA",7842,NA,NA,0.033,NA,NA
1265,"OTSEGO",17957,NA,NA,0.031,NA,NA
1266,"OTTAWA",187768,NA,NA,0.033,NA,NA
1267,"PRESQUE ISLE",13743,NA,NA,0.042,NA,NA
1268,"ROSCOMMON",19776,NA,NA,0.034,NA,NA
1269,"SAGINAW",211946,NA,NA,0.048,NA,NA
1270,"ST CLAIR",145607,NA,NA,0.04,NA,NA
1271,"ST JOSEPH",58913,NA,NA,0.029,NA,NA
1272,"SANILAC",39928,NA,NA,0.056,NA,NA
1273,"SCHOOLCRAFT",8302,NA,NA,0.075,NA,NA
1274,"SHIAWASSEE",69770,NA,NA,0.031,NA,NA
1275,"TUSCOLA",55498,NA,NA,0.048,NA,NA
1276,"VAN BUREN",70060,NA,NA,0.037,NA,NA
1277,"WASHTENAW",282937,NA,NA,0.041,NA,NA
1278,"WAYNE",2111687,NA,NA,0.035,NA,NA
1279,"WEXFORD",26360,NA,NA,0.034,NA,NA
2009,"ADAMS",25371,NA,NA,NA,0.035,NA
2010,"ALLEN",109755,NA,NA,NA,0.024,NA
2011,"ASHLAND",47507,NA,NA,NA,0.025,NA
2012,"ASHTABULA",99821,NA,NA,NA,0.041,NA
2013,"ATHENS",59549,NA,NA,NA,0.03,NA
2014,"AUGLAIZE",44585,NA,NA,NA,0.024,NA
2015,"BELMONT",71074,NA,NA,NA,0.031,NA
2016,"BROWN",34966,NA,NA,NA,0.028,NA
2017,"BUTLER",291479,NA,NA,NA,0.028,NA
2018,"CARROLL",26521,NA,NA,NA,0.024,NA
2019,"CHAMPAIGN",36019,NA,NA,NA,0.026,NA
2020,"CLARK",147548,NA,NA,NA,0.024,NA
2021,"CLERMONT",150187,NA,NA,NA,0.026,NA
2022,"CLINTON",35415,NA,NA,NA,0.024,NA
2023,"COLUMBIANA",108276,NA,NA,NA,0.031,NA
2024,"COSHOCTON",35427,NA,NA,NA,0.034,NA
2025,"CRAWFORD",47870,NA,NA,NA,0.023,NA
2026,"CUYAHOGA",1412140,NA,NA,NA,0.026,NA
2027,"DARKE",53619,NA,NA,NA,0.036,NA
2028,"DEFIANCE",39350,NA,NA,NA,0.023,NA
2029,"DELAWARE",66929,NA,NA,NA,0.027,NA
2030,"ERIE",76779,NA,NA,NA,0.014,NA
2031,"FAIRFIELD",103461,NA,NA,NA,0.029,NA
2032,"FAYETTE",27466,NA,NA,NA,0.024,NA
2033,"FRANKLIN",961437,NA,NA,NA,0.034,NA
2034,"FULTON",38498,NA,NA,NA,0.025,NA
2035,"GALLIA",30954,NA,NA,NA,0.026,NA
2036,"GEAUGA",81129,NA,NA,NA,0.024,NA
2037,"GREENE",136731,NA,NA,NA,0.025,NA
2038,"GUERNSEY",39024,NA,NA,NA,0.032,NA
2039,"HAMILTON",866228,NA,NA,NA,0.025,NA
2040,"HANCOCK",65536,NA,NA,NA,0.031,NA
2041,"HARDIN",31111,NA,NA,NA,0.028,NA
2042,"HARRISON",16085,NA,NA,NA,0.025,NA
2043,"HENRY",29108,NA,NA,NA,0.025,NA
2044,"HIGHLAND",35728,NA,NA,NA,0.034,NA
2045,"HOCKING",25533,NA,NA,NA,0.024,NA
2046,"HOLMES",32849,NA,NA,NA,0.025,NA
2047,"HURON",56240,NA,NA,NA,0.03,NA
2048,"JACKSON",30230,NA,NA,NA,0.024,NA
2049,"JEFFERSON",80298,NA,NA,NA,0.022,NA
2050,"KNOX",47473,NA,NA,NA,0.03,NA
2051,"LAKE",215499,NA,NA,NA,0.013,NA
2052,"LAWRENCE",61834,NA,NA,NA,0.026,NA
2053,"LICKING",128300,NA,NA,NA,0.04,NA
2054,"LOGAN",42310,NA,NA,NA,0.027,NA
2055,"LORAIN",271126,NA,NA,NA,0.029,NA
2056,"LUCAS",462361,NA,NA,NA,0.021,NA
2057,"MADISON",37068,NA,NA,NA,0.028,NA
2058,"MAHONING",264806,NA,NA,NA,0.024,NA
2059,"MARION",64274,NA,NA,NA,0.024,NA
2060,"MEDINA",122354,NA,NA,NA,0.025,NA
2061,"MEIGS",22987,NA,NA,NA,0.025,NA
2062,"MERCER",39443,NA,NA,NA,0.028,NA
2063,"MIAMI",93182,NA,NA,NA,0.024,NA
2064,"MONROE",15497,NA,NA,NA,0.026,NA
2065,"MONTGOMERY",573809,NA,NA,NA,0.027,NA
2066,"MORGAN",14194,NA,NA,NA,0.025,NA
2067,"MORROW",27749,NA,NA,NA,0.024,NA
2068,"MUSKINGUM",82068,NA,NA,NA,0.041,NA
2069,"NOBLE",11336,NA,NA,NA,0.024,NA
2070,"OTTAWA",40029,NA,NA,NA,0.016,NA
2071,"PAULDING",20488,NA,NA,NA,0.025,NA
2072,"PERRY",31557,NA,NA,NA,0.023,NA
2073,"PICKAWAY",48255,NA,NA,NA,0.03,NA
2074,"PIKE",24249,NA,NA,NA,0.026,NA
2075,"PORTAGE",142585,NA,NA,NA,0.03,NA
2076,"PREBLE",40113,NA,NA,NA,0.025,NA
2077,"PUTNAM",33819,NA,NA,NA,0.029,NA
2078,"RICHLAND",126137,NA,NA,NA,0.029,NA
2079,"ROSS",69330,NA,NA,NA,0.041,NA
2080,"SANDUSKY",61963,NA,NA,NA,0.024,NA
2081,"SCIOTO",80327,NA,NA,NA,0.035,NA
2082,"SENECA",59733,NA,NA,NA,0.033,NA
2083,"SHELBY",44915,NA,NA,NA,0.025,NA
2084,"STARK",367585,NA,NA,NA,0.034,NA
2085,"SUMMIT",514990,NA,NA,NA,0.024,NA
2086,"TRUMBULL",227813,NA,NA,NA,0.037,NA
2087,"TUSCARAWAS",84090,NA,NA,NA,0.034,NA
2088,"UNION",31969,NA,NA,NA,0.026,NA
2089,"VAN WERT",30464,NA,NA,NA,0.024,NA
2090,"VINTON",11098,NA,NA,NA,0.024,NA
2091,"WARREN",113909,NA,NA,NA,0.023,NA
2092,"WASHINGTON",62254,NA,NA,NA,0.038,NA
2093,"WAYNE",101461,NA,NA,NA,0.033,NA
2094,"WILLIAMS",36956,NA,NA,NA,0.025,NA
2095,"WOOD",113269,NA,NA,NA,0.037,NA
2096,"WYANDOT",22254,NA,NA,NA,0.024,NA
2981,"ADAMS",15682,NA,NA,NA,NA,0.041
2982,"ASHLAND",16307,NA,NA,NA,NA,0.054
2983,"BARRON",40750,NA,NA,NA,NA,0.053
2984,"BAYFIELD",14008,NA,NA,NA,NA,0.089
2985,"BROWN",194594,NA,NA,NA,NA,0.032
2986,"BUFFALO",13584,NA,NA,NA,NA,0.04
2987,"BURNETT",13084,NA,NA,NA,NA,0.053
2988,"CALUMET",34291,NA,NA,NA,NA,0.023
2989,"CHIPPEWA",52360,NA,NA,NA,NA,0.063
2990,"CLARK",31647,NA,NA,NA,NA,0.072
2991,"COLUMBIA",45088,NA,NA,NA,NA,0.046
2992,"CRAWFORD",15940,NA,NA,NA,NA,0.035
2993,"DANE",367085,NA,NA,NA,NA,0.073
2994,"DODGE",76559,NA,NA,NA,NA,0.054
2995,"DOOR",25690,NA,NA,NA,NA,0.028
2996,"DOUGLAS",41758,NA,NA,NA,NA,0.078
2997,"DUNN",35909,NA,NA,NA,NA,0.052
2998,"EAU CLAIRE",85183,NA,NA,NA,NA,0.038
2999,"FLORENCE",4590,NA,NA,NA,NA,0.03
3000,"FOND DU LAC",90083,NA,NA,NA,NA,0.044
3001,"FOREST",8776,NA,NA,NA,NA,0.06
3002,"GRANT",49264,NA,NA,NA,NA,0.069
3003,"GREEN",30339,NA,NA,NA,NA,0.034
3004,"GREEN LAKE",18651,NA,NA,NA,NA,0.022
3005,"IOWA",20150,NA,NA,NA,NA,0.046
3006,"IRON",6153,NA,NA,NA,NA,0.047
3007,"JACKSON",16588,NA,NA,NA,NA,0.06
3008,"JEFFERSON",67783,NA,NA,NA,NA,0.035
3009,"JUNEAU",21650,NA,NA,NA,NA,0.047
3010,"KENOSHA",128181,NA,NA,NA,NA,0.016
3011,"KEWAUNEE",18878,NA,NA,NA,NA,0.02
3012,"LA CROSSE",97904,NA,NA,NA,NA,0.028
3013,"LAFAYETTE",16076,NA,NA,NA,NA,0.037
3014,"LANGLADE",19505,NA,NA,NA,NA,0.052
3015,"LINCOLN",26993,NA,NA,NA,NA,0.053
3016,"MANITOWOC",80421,NA,NA,NA,NA,0.036
3017,"MARATHON",115400,NA,NA,NA,NA,0.094
3018,"MARINETTE",40548,NA,NA,NA,NA,0.082
3019,"MARQUETTE",12321,NA,NA,NA,NA,0.027
3020,"MENOMINEE",3890,NA,NA,NA,NA,0.021
3021,"MILWAUKEE",959275,NA,NA,NA,NA,0.015
3022,"MONROE",36633,NA,NA,NA,NA,0.054
3023,"OCONTO",30226,NA,NA,NA,NA,0.06
3024,"ONEIDA",31679,NA,NA,NA,NA,0.071
3025,"OUTAGAMIE",140510,NA,NA,NA,NA,0.037
3026,"OZAUKEE",72831,NA,NA,NA,NA,0.015
3027,"PEPIN",7107,NA,NA,NA,NA,0.014
3028,"PIERCE",32765,NA,NA,NA,NA,0.034
3029,"POLK",34773,NA,NA,NA,NA,0.055
3030,"PORTAGE",61405,NA,NA,NA,NA,0.048
3031,"PRICE",15600,NA,NA,NA,NA,0.075
3032,"RACINE",175034,NA,NA,NA,NA,0.02
3033,"RICHLAND",17521,NA,NA,NA,NA,0.034
3034,"ROCK",139510,NA,NA,NA,NA,0.042
3035,"RUSK",15079,NA,NA,NA,NA,0.055
3036,"ST CROIX",50251,NA,NA,NA,NA,0.044
3037,"SAUK",46975,NA,NA,NA,NA,0.05
3038,"SAWYER",14181,NA,NA,NA,NA,0.079
3039,"SHAWANO",37157,NA,NA,NA,NA,0.054
3040,"SHEBOYGAN",103877,NA,NA,NA,NA,0.032
3041,"TAYLOR",18901,NA,NA,NA,NA,0.057
3042,"TREMPEALEAU",25263,NA,NA,NA,NA,0.043
3043,"VERNON",25617,NA,NA,NA,NA,0.048
3044,"VILAS",17707,NA,NA,NA,NA,0.06
3045,"WALWORTH",75000,NA,NA,NA,NA,0.032
3046,"WASHBURN",13772,NA,NA,NA,NA,0.05
3047,"WASHINGTON",95328,NA,NA,NA,NA,0.025
3048,"WAUKESHA",304715,NA,NA,NA,NA,0.034
3049,"WAUPACA",46104,NA,NA,NA,NA,0.045
3050,"WAUSHARA",19385,NA,NA,NA,NA,0.037
3051,"WINNEBAGO",140320,NA,NA,NA,NA,0.035
3052,"WOOD",73605,NA,NA,NA,NA,0.048
561,"ADAMS",66090,0.052,NA,NA,NA,NA
562,"ALEXANDER",10626,0.014,NA,NA,NA,NA
563,"BOND",14991,0.022,NA,NA,NA,NA
564,"BOONE",30806,0.017,NA,NA,NA,NA
565,"BROWN",5836,0.018,NA,NA,NA,NA
566,"BUREAU",35688,0.05,NA,NA,NA,NA
567,"CALHOUN",5322,0.017,NA,NA,NA,NA
568,"CARROLL",16805,0.027,NA,NA,NA,NA
569,"CASS",13437,0.024,NA,NA,NA,NA
570,"CHAMPAIGN",173025,0.058,NA,NA,NA,NA
571,"CHRISTIAN",34418,0.042,NA,NA,NA,NA
572,"CLARK",15921,0.03,NA,NA,NA,NA
573,"CLAY",14460,0.028,NA,NA,NA,NA
574,"CLINTON",33944,0.029,NA,NA,NA,NA
575,"COLES",51644,0.03,NA,NA,NA,NA
576,"COOK",5105067,0.058,NA,NA,NA,NA
577,"CRAWFORD",19464,0.026,NA,NA,NA,NA
578,"CUMBERLAND",10670,0.02,NA,NA,NA,NA
579,"DE KALB",77932,0.038,NA,NA,NA,NA
580,"DE WITT",16516,0.023,NA,NA,NA,NA
